row_index,WTUR.TmHvElt.actTmVal
1022,49639.14
1023,49639.15
1024,49639.15
1025,49639.15
1026,49639.15
1027,49639.15
1028,49639.16
1029,49639.16
1030,49639.16
1031,49639.16
1032,49639.16
1033,49639.17
1034,49639.17
1035,49639.17
1036,49639.17
1037,49639.17
1038,49639.18
1039,49639.18
1040,49639.18
1041,49639.18
1042,49639.18
1043,49639.19
1044,49639.19
1045,49639.19
1046,49639.19
1047,49639.19
1048,49639.2
1049,49639.2
1050,49639.2
1051,49639.2
1052,49639.2
1053,49639.21
1054,49639.21
1055,49639.21
1056,49639.21
1057,49639.21
1058,49639.22
1059,49639.22
1060,49639.22
1061,49639.22
1062,49639.22
1063,49639.23
1064,49639.23
1065,49639.23
1066,49639.23
1067,49639.23
1068,49639.24
1069,49639.24
1070,49639.24
1071,49639.24
1072,49639.24
1073,49639.25
1074,49639.25
1075,49639.25
1076,49639.25
1077,49639.25
1078,49639.26
1079,49639.26
1080,49639.26
1081,49639.26
1082,49639.26
1083,49639.27
1084,49639.27
1085,49639.27
1086,49639.27
1087,49639.27
1088,49639.28
1089,49639.28
1090,49639.28
1091,49639.28
1092,49639.28
1093,49639.28
1094,49639.29
1095,49639.29
1096,49639.29
1097,49639.29
1098,49639.29
1099,49639.3
1100,49639.3
1101,49639.3
1102,49639.3
1103,49639.3
1104,49639.31
1105,49639.31
1106,49639.31
1107,49639.31
1108,49639.31
1109,49639.32
1110,49639.32
1111,49639.32
1112,49639.32
1113,49639.33
1114,49639.33
1115,49639.33
1116,49639.33
1117,49639.33
1118,49639.34
1119,49639.34
1120,49639.34
1121,49639.34
1122,49639.34
1123,49639.35
1124,49639.35
1125,49639.35
1126,49639.35
1127,49639.35
1128,49639.36
1129,49639.36
1130,49639.36
1131,49639.36
1132,49639.36
1133,49639.37
1134,49639.37
1135,49639.37
1136,49639.37
1137,49639.37
1138,49639.38
1139,49639.38
1140,49639.38
1141,49639.38
1142,49639.38
1143,49639.39
1144,49639.39
1145,49639.39
1146,49639.39
1147,49639.39
1148,49639.4
1149,49639.4
1150,49639.4
1151,49639.4
1152,49639.4
1153,49639.41
1154,49639.41
1155,49639.41
1156,49639.41
1157,49639.41
1158,49639.42
1159,49639.42
1160,49639.42
1161,49639.42
1162,49639.42
1163,49639.43
1164,49639.43
1165,49639.43
1166,49639.43
1167,49639.43
1168,49639.44
1169,49639.44
1170,49639.44
1171,49639.44
1172,49639.44
1173,49639.45
1174,49639.45
1175,49639.45
1176,49639.45
1177,49639.45
1178,49639.45
1179,49639.46
1180,49639.46
1181,49639.46
1182,49639.46
1183,49639.46
1184,49639.47
1185,49639.47
1186,49639.47
1187,49639.47
1188,49639.47
1189,49639.48
1190,49639.48
1191,49639.48
1192,49639.48
1193,49639.48
1194,49639.49
1195,49639.49
1196,49639.49
1197,49639.49
1198,49639.49
1199,49639.5
