row_index,WROT.PtTurnOnTmp.Bl3
1246,4.59
1247,4.59
1248,4.59
1249,4.59
1250,4.59
1251,4.59
1252,4.59
1253,4.59
1254,4.59
1255,4.59
1256,4.59
1257,4.59
1258,4.59
1259,4.59
1260,4.59
1261,4.59
1262,4.59
1263,4.59
1264,4.59
1265,4.59
1266,4.59
1267,4.59
1268,4.59
1269,4.59
1270,4.59
1271,4.59
1272,4.59
1273,4.59
1274,4.59
1275,4.59
1276,4.59
1277,4.59
1278,4.59
1279,4.59
1280,4.59
1281,4.59
1282,4.59
1283,4.59
1284,4.59
1285,4.59
1286,4.59
1287,4.59
1288,4.59
1289,4.59
1290,4.59
1291,4.59
1292,4.59
1293,4.59
1294,4.59
1295,4.59
1296,4.59
1297,4.59
1298,4.59
1299,4.59
1300,4.59
1301,4.59
1302,4.59
1303,4.59
1304,4.59
1305,4.59
1306,4.59
1307,4.59
1308,4.59
1309,4.59
1310,4.59
1311,4.59
1312,4.59
1313,4.59
1314,4.59
1315,4.5
1316,4.5
1317,4.59
1318,4.5
1319,4.59
1320,4.5
1321,4.59
1322,4.5
1323,4.5
1324,4.5
1325,4.5
1326,4.5
1327,4.59
1328,4.59
1329,4.59
1330,4.59
1331,4.59
1332,4.5
1333,4.5
1334,4.5
1335,4.5
1336,4.5
1337,4.59
1338,4.59
1339,4.5
1340,4.5
1341,4.5
1342,4.5
1343,4.5
1344,4.5
1345,4.5
1346,4.5
1347,4.5
1348,4.5
1349,4.5
1350,4.5
1351,4.5
1352,4.5
1353,4.5
1354,4.5
1355,4.5
1356,4.5
1357,4.5
1358,4.5
1359,4.5
1360,4.5
1361,4.5
1362,4.5
1363,4.5
1364,4.5
1365,4.5
1366,4.5
1367,4.5
1368,4.5
1369,4.5
1370,4.5
1371,4.5
1372,4.5
1373,4.5
1374,4.5
1375,4.5
1376,4.5
1377,4.4
1378,4.4
1379,4.5
1380,4.5
1381,4.4
1382,4.5
1383,4.5
1384,4.5
1385,4.4
1386,4.4
1387,4.4
1388,4.4
1389,4.4
1390,4.4
1391,4.4
1392,4.4
1393,4.4
1394,4.4
1395,4.4
1396,4.4
1397,4.4
1398,4.4
1399,4.4
1400,4.4
1401,4.4
1402,4.4
1403,4.4
1404,4.4
1405,4.4
1406,4.4
1407,4.4
1408,4.4
1409,4.4
1410,4.4
1411,4.4
1412,4.4
1413,4.4
1414,4.4
1415,4.4
1416,4.4
1417,4.4
1418,4.4
1419,4.4
1420,4.4
1421,4.4
1422,4.4
1423,4.4
1424,4.4
1425,4.4
1426,4.4
1427,4.4
1428,4.4
1429,4.4
1430,4.4
1431,4.4
1432,4.4
1433,4.4
1434,4.4
1435,4.4
1436,4.4
1437,4.4
1438,4.4
1439,4.4
