row_index,WTUR.converterMainBreakerCount
769,976501400.0000001
770,976501400.0000001
771,976501400.0000001
772,976501400.0000001
773,976501400.0000001
774,976501400.0000001
775,976501400.0000001
776,976501400.0000001
777,976501400.0000001
778,976501400.0000001
779,976501400.0000001
780,976501400.0000001
781,976501400.0000001
782,976501400.0000001
783,976501400.0000001
784,976501400.0000001
785,976501400.0000001
786,976501400.0000001
787,976501400.0000001
788,976501400.0000001
789,976501400.0000001
790,976501400.0000001
791,976501400.0000001
792,976501400.0000001
793,976501400.0000001
794,976501400.0000001
795,976501400.0000001
796,976501400.0000001
797,976501400.0000001
798,976501400.0000001
799,976501400.0000001
800,976501400.0000001
801,976501400.0000001
802,976501400.0000001
803,976501400.0000001
804,976501400.0000001
805,976501400.0000001
806,976501400.0000001
807,976501400.0000001
808,976501400.0000001
809,976501400.0000001
810,976501400.0000001
811,976501400.0000001
812,976501400.0000001
813,976501400.0000001
814,976501400.0000001
815,976501400.0000001
816,976501400.0000001
817,976501400.0000001
818,976501400.0000001
819,976501400.0000001
820,976501400.0000001
821,976501400.0000001
822,976501400.0000001
823,976501400.0000001
824,976501400.0000001
825,976501400.0000001
826,976501400.0000001
827,976501400.0000001
828,976501400.0000001
829,976501400.0000001
830,976501400.0000001
831,976501400.0000001
832,976501400.0000001
833,976501400.0000001
834,976501400.0000001
835,976501400.0000001
836,976501400.0000001
837,976501400.0000001
838,976501400.0000001
839,976501400.0000001
840,976501400.0000001
841,976501400.0000001
842,976501400.0000001
843,976501400.0000001
844,976501400.0000001
845,976501400.0000001
846,976501400.0000001
847,976501400.0000001
848,976501400.0000001
849,976501400.0000001
850,976501400.0000001
851,976501400.0000001
852,976501400.0000001
853,976501400.0000001
854,976501400.0000001
855,976501400.0000001
856,976501400.0000001
857,976501400.0000001
858,976501400.0000001
859,976501400.0000001
860,976501400.0000001
861,976501400.0000001
862,976501400.0000001
863,976501400.0000001
864,976501400.0000001
865,976501400.0000001
866,976501400.0000001
867,976501400.0000001
868,976501400.0000001
869,976501400.0000001
870,976501400.0000001
871,976501400.0000001
872,976501400.0000001
873,976501400.0000001
874,976501400.0000001
875,976501400.0000001
876,976501400.0000001
877,976501400.0000001
878,976501400.0000001
879,976501400.0000001
880,976501400.0000001
881,976501400.0000001
882,976501400.0000001
883,976501400.0000001
884,976501400.0000001
885,976501400.0000001
886,976501400.0000001
887,976501400.0000001
888,976501400.0000001
889,976501400.0000001
890,976501400.0000001
