row_index,WYAW.WkHours.Mt3
2496,1107.46
2497,1107.46
2498,1107.46
2499,1107.46
2500,1107.46
2501,1107.46
2502,1107.46
2503,1107.46
2504,1107.46
2505,1107.46
2506,1107.46
2507,1107.46
2508,1107.46
2509,1107.46
2510,1107.46
2511,1107.46
2512,1107.46
2513,1107.46
2514,1107.46
2515,1107.46
2516,1107.46
2517,1107.46
2518,1107.46
2519,1107.46
2520,1107.46
2521,1107.46
2522,1107.46
2523,1107.46
2524,1107.46
2525,1107.46
2526,1107.46
2527,1107.46
2528,1107.46
2529,1107.46
2530,1107.46
2531,1107.46
2532,1107.46
2533,1107.46
2534,1107.46
2535,1107.46
2536,1107.46
2537,1107.46
2538,1107.46
2539,1107.46
2540,1107.46
2541,1107.46
2542,1107.46
2543,1107.46
2544,1107.46
2545,1107.46
2546,1107.46
2547,1107.46
2548,1107.46
2549,1107.46
2550,1107.46
2551,1107.46
2552,1107.46
2553,1107.46
2554,1107.46
2555,1107.46
2556,1107.46
2557,1107.46
2558,1107.46
2559,1107.46
2560,1107.46
2561,1107.46
2562,1107.46
2563,1107.46
2564,1107.46
2565,1107.46
2566,1107.46
2567,1107.46
2568,1107.46
2569,1107.46
2570,1107.46
2571,1107.46
2572,1107.46
2573,1107.46
2574,1107.46
2575,1107.46
2576,1107.46
2577,1107.46
2578,1107.46
2579,1107.46
2580,1107.46
2581,1107.46
2582,1107.46
2583,1107.46
2584,1107.46
2585,1107.46
2586,1107.46
2587,1107.46
2588,1107.46
2589,1107.46
2590,1107.46
2591,1107.46
2592,1107.46
2593,1107.46
2594,1107.46
2595,1107.46
2596,1107.46
2597,1107.46
2598,1107.46
2599,1107.46
2600,1107.46
2601,1107.46
2602,1107.46
2603,1107.46
2604,1107.46
2605,1107.46
2606,1107.46
2607,1107.46
2608,1107.46
2609,1107.46
2610,1107.46
2611,1107.46
2612,1107.46
2613,1107.46
2614,1107.46
2615,1107.46
2616,1107.46
2617,1107.46
2618,1107.46
2619,1107.46
2620,1107.46
2621,1107.46
2622,1107.46
2623,1107.46
2624,1107.46
2625,1107.46
2626,1107.46
2627,1107.46
2628,1107.46
2629,1107.46
2630,1107.46
2631,1107.46
2632,1107.46
2633,1107.46
2634,1107.46
2635,1107.46
2636,1107.46
2637,1107.46
2638,1107.46
2639,1107.46
2640,1107.46
2641,1107.46
2642,1107.46
2643,1107.46
2644,1107.46
2645,1107.46
2646,1107.46
2647,1107.46
2648,1107.46
2649,1107.46
2650,1107.46
2651,1107.46
2652,1107.46
2653,1107.46
2654,1107.46
2655,1107.46
2656,1107.46
2657,1107.46
2658,1107.46
2659,1107.46
2660,1107.46
2661,1107.46
2662,1107.46
2663,1107.46
2664,1107.46
2665,1107.46
2666,1107.46
2667,1107.46
2668,1107.46
2669,1107.46
2670,1107.46
2671,1107.46
2672,1107.46
2673,1107.46
2674,1107.46
2675,1107.46
2676,1107.46
2677,1107.46
2678,1107.46
2679,1107.46
2680,1107.46
2681,1107.46
2682,1107.46
2683,1107.46
2684,1107.46
2685,1107.46
2686,1107.46
2687,1107.46
2688,1107.46
2689,1107.46
2690,1107.46
2691,1107.46
2692,1107.46
2693,1107.46
2694,1107.46
2695,1107.46
2696,1107.46
2697,1107.46
2698,1107.46
2699,1107.46
2700,1107.46
2701,1107.46
2702,1107.46
2703,1107.46
2704,1107.46
2705,1107.46
2706,1107.46
2707,1107.46
2708,1107.46
2709,1107.46
2710,1107.46
2711,1107.46
2712,1107.46
2713,1107.46
2714,1107.46
2715,1107.46
2716,1107.46
2717,1107.46
2718,1107.46
2719,1107.46
2720,1107.46
2721,1107.46
2722,1107.46
2723,1107.46
2724,1107.46
2725,1107.46
2726,1107.46
2727,1107.46
2728,1107.46
2729,1107.46
2730,1107.46
2731,1107.46
2732,1107.46
2733,1107.46
2734,1107.46
2735,1107.46
2736,1107.46
2737,1107.46
2738,1107.46
2739,1107.46
2740,1107.46
2741,1107.46
2742,1107.46
2743,1107.46
2744,1107.46
2745,1107.46
2746,1107.46
2747,1107.46
2748,1107.46
2749,1107.46
2750,1107.46
2751,1107.46
2752,1107.46
2753,1107.46
2754,1107.46
2755,1107.46
2756,1107.46
2757,1107.46
2758,1107.46
2759,1107.46
2760,1107.46
2761,1107.46
2762,1107.46
2763,1107.46
2764,1107.46
2765,1107.46
2766,1107.46
2767,1107.46
2768,1107.46
2769,1107.46
2770,1107.46
2771,1107.46
2772,1107.46
2773,1107.46
2774,1107.46
2775,1107.46
2776,1107.46
2777,1107.46
2778,1107.46
2779,1107.46
2780,1107.46
2781,1107.46
2782,1107.46
2783,1107.46
2784,1107.46
2785,1107.46
2786,1107.46
2787,1107.46
2788,1107.46
2789,1107.46
2790,1107.46
2791,1107.46
2792,1107.46
2793,1107.46
2794,1107.46
2795,1107.46
2796,1107.46
2797,1107.46
2798,1107.46
2799,1107.46
2800,1107.46
2801,1107.46
2802,1107.46
2803,1107.46
2804,1107.46
2805,1107.46
2806,1107.46
2807,1107.46
2808,1107.46
2809,1107.46
2810,1107.46
2811,1107.46
2812,1107.46
2813,1107.46
2814,1107.46
2815,1107.46
2816,1107.46
2817,1107.46
2818,1107.46
2819,1107.46
2820,1107.46
2821,1107.46
2822,1107.46
2823,1107.46
2824,1107.46
2825,1107.46
2826,1107.46
2827,1107.46
2828,1107.46
2829,1107.46
2830,1107.46
2831,1107.46
2832,1107.46
2833,1107.46
2834,1107.46
2835,1107.46
2836,1107.46
2837,1107.46
2838,1107.46
2839,1107.46
2840,1107.46
2841,1107.46
2842,1107.46
2843,1107.46
2844,1107.46
2845,1107.46
2846,1107.46
2847,1107.46
2848,1107.46
2849,1107.46
2850,1107.46
2851,1107.46
2852,1107.46
2853,1107.46
2854,1107.46
2855,1107.46
2856,1107.46
2857,1107.46
2858,1107.46
2859,1107.46
2860,1107.46
2861,1107.46
2862,1107.46
2863,1107.46
2864,1107.46
2865,1107.46
2866,1107.46
2867,1107.46
2868,1107.46
2869,1107.46
2870,1107.46
2871,1107.46
2872,1107.46
2873,1107.46
2874,1107.46
2875,1107.46
2876,1107.46
2877,1107.46
2878,1107.46
2879,1107.46
2880,1107.46
2881,1107.46
2882,1107.46
2883,1107.46
2884,1107.46
2885,1107.46
2886,1107.46
2887,1107.46
2888,1107.46
2889,1107.46
2890,1107.46
2891,1107.46
2892,1107.46
2893,1107.46
2894,1107.46
2895,1107.46
2896,1107.46
2897,1107.46
2898,1107.46
2899,1107.46
2900,1107.46
2901,1107.46
2902,1107.46
2903,1107.46
2904,1107.46
2905,1107.46
2906,1107.46
2907,1107.46
2908,1107.46
2909,1107.46
2910,1107.46
2911,1107.46
2912,1107.46
2913,1107.46
2914,1107.46
2915,1107.46
2916,1107.46
2917,1107.46
2918,1107.46
2919,1107.46
2920,1107.46
2921,1107.46
2922,1107.46
2923,1107.46
2924,1107.46
2925,1107.46
2926,1107.46
2927,1107.46
2928,1107.46
2929,1107.46
2930,1107.46
2931,1107.46
2932,1107.46
2933,1107.46
2934,1107.46
2935,1107.46
2936,1107.46
2937,1107.46
2938,1107.46
2939,1107.46
2940,1107.46
2941,1107.46
2942,1107.46
2943,1107.46
2944,1107.46
2945,1107.46
2946,1107.46
2947,1107.46
2948,1107.46
2949,1107.46
2950,1107.46
2951,1107.46
2952,1107.46
2953,1107.46
2954,1107.46
2955,1107.46
2956,1107.46
2957,1107.46
2958,1107.46
2959,1107.46
2960,1107.46
2961,1107.46
2962,1107.46
2963,1107.46
2964,1107.46
2965,1107.46
2966,1107.46
2967,1107.46
2968,1107.46
2969,1107.46
2970,1107.46
2971,1107.46
2972,1107.46
2973,1107.46
2974,1107.46
2975,1107.46
2976,1107.46
2977,1107.46
2978,1107.46
2979,1107.46
2980,1107.46
2981,1107.46
2982,1107.46
2983,1107.46
2984,1107.46
2985,1107.46
2986,1107.46
2987,1107.46
2988,1107.46
2989,1107.46
2990,1107.46
2991,1107.46
2992,1107.46
2993,1107.46
2994,1107.46
2995,1107.46
2996,1107.46
2997,1107.46
2998,1107.46
2999,1107.46
3000,1107.46
3001,1107.46
3002,1107.46
3003,1107.46
3004,1107.46
3005,1107.46
3006,1107.46
3007,1107.46
3008,1107.46
3009,1107.46
3010,1107.46
3011,1107.46
3012,1107.46
3013,1107.46
3014,1107.46
3015,1107.46
3016,1107.46
3017,1107.46
3018,1107.46
3019,1107.46
3020,1107.46
3021,1107.46
3022,1107.46
3023,1107.46
3024,1107.46
3025,1107.46
3026,1107.46
3027,1107.46
3028,1107.46
3029,1107.46
3030,1107.46
3031,1107.46
3032,1107.46
3033,1107.46
3034,1107.46
3035,1107.46
