row_index,WGEN.TotPwr.InstMag.i
1325,22875959.0
1326,22875959.0
1327,22875960.0
1328,22875960.0
1329,22875961.0
1330,22875961.0
1331,22875962.0
1332,22875963.0
1333,22875963.0
1334,22875964.0
1335,22875964.0
1336,22875965.0
1337,22875965.0
1338,22875966.0
1339,22875966.0
1340,22875967.0
1341,22875968.0
1342,22875968.0
1343,22875969.0
1344,22875969.0
1345,22875969.0
1346,22875970.0
1347,22875970.0
1348,22875971.0
1349,22875971.0
1350,22875972.0
1351,22875972.0
1352,22875973.0
1353,22875973.0
1354,22875974.0
1355,22875974.0
1356,22875975.0
1357,22875975.0
1358,22875976.0
1359,22875976.0
1360,22875977.0
1361,22875977.0
1362,22875978.0
1363,22875978.0
1364,22875979.0
1365,22875979.0
1366,22875980.0
1367,22875980.0
1368,22875980.0
1369,22875981.0
1370,22875981.0
1371,22875982.0
1372,22875982.0
1373,22875983.0
1374,22875983.0
1375,22875984.0
1376,22875984.0
1377,22875985.0
1378,22875985.0
1379,22875986.0
1380,22875986.0
1381,22875986.0
1382,22875987.0
1383,22875987.0
1384,22875988.0
1385,22875988.0
1386,22875989.0
1387,22875989.0
1388,22875990.0
1389,22875990.0
1390,22875991.0
1391,22875991.0
1392,22875992.0
1393,22875992.0
1394,22875992.0
1395,22875993.0
1396,22875993.0
1397,22875994.0
1398,22875994.0
1399,22875995.0
1400,22875995.0
1401,22875996.0
1402,22875996.0
1403,22875997.0
1404,22875997.0
1405,22875998.0
1406,22875999.0
1407,22875999.0
1408,22876000.0
1409,22876000.0
1410,22876001.0
1411,22876001.0
1412,22876002.0
1413,22876002.0
1414,22876003.0
1415,22876003.0
1416,22876004.0
1417,22876004.0
1418,22876005.0
1419,22876006.0
1420,22876006.0
1421,22876007.0
1422,22876007.0
1423,22876008.0
1424,22876008.0
1425,22876009.0
1426,22876009.0
1427,22876010.0
1428,22876010.0
1429,22876010.0
1430,22876011.0
1431,22876012.0
1432,22876012.0
1433,22876013.0
1434,22876013.0
1435,22876014.0
1436,22876014.0
1437,22876015.0
1438,22876015.0
1439,22876016.0
1440,22876016.0
1441,22876017.0
1442,22876017.0
1443,22876018.0
1444,22876018.0
1445,22876019.0
1446,22876019.0
1447,22876020.0
1448,22876020.0
1449,22876021.0
1450,22876021.0
1451,22876022.0
1452,22876023.0
1453,22876023.0
1454,22876024.0
1455,22876024.0
