source_file,page_num,flags,accepted,reason,original_score,best_score,original_avg_confidence,chosen_avg_confidence,original_char_count,chosen_char_count,candidate_count,elapsed_s
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",1,文字极短,False,quality_not_improved_enough,113.9592,78.4067,0.9367,0.9367,28,28,5,5.929
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",254,文字极短,False,quality_not_improved_enough,90.41,88.8,0.94,0.94,4,4,5,3.9
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",6,版面顺序high,False,quality_not_improved_enough,68.8887,66.8334,0.4623,0.4623,332,332,2,4.913
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",33,版面顺序high,True,quality_improved,94.0,114.6628,0.5129,0.6473,559,604,2,6.104
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",47,版面顺序high,False,quality_not_improved_enough,84.0318,86.8199,0.5267,0.5267,449,449,2,6.194
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",49,版面顺序high,False,candidate_lost_too_much_text,114.8234,73.2597,0.4761,0.4761,1350,1350,2,5.055
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",63,版面顺序high,False,quality_not_improved_enough,71.3203,76.1679,0.4529,0.4529,368,368,2,5.014
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",89,版面顺序high,True,quality_improved,82.0891,106.9915,0.4648,0.3973,580,10612,2,5.612
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",93,版面顺序high,False,quality_not_improved_enough,90.7211,95.7134,0.5245,0.5245,433,433,2,6.871
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",125,版面顺序high,False,quality_not_improved_enough,81.5198,84.9093,0.4985,0.4985,483,483,2,5.3
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",129,版面顺序high,False,quality_not_improved_enough,92.9604,88.0081,0.5282,0.5282,476,476,2,6.578
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",143,版面顺序high,True,quality_improved,104.7225,114.5962,0.6106,0.6745,491,541,2,5.301
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",151,版面顺序high,False,quality_not_improved_enough,124.3304,127.7354,0.5708,0.5708,1717,1717,2,3.962
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",153,版面顺序high,True,quality_improved,105.1754,120.3898,0.5176,0.5448,968,9320,2,5.72
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",156,版面顺序high,False,quality_not_improved_enough,73.6208,75.6717,0.4718,0.4718,371,371,2,6.683
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",165,版面顺序high,True,quality_improved,93.0412,150.8204,0.4993,0.8348,555,12481,2,5.632
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",167,版面顺序high,True,quality_improved,73.5699,88.4542,0.4724,0.4895,356,548,2,5.335
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",169,版面顺序high,False,quality_not_improved_enough,99.7326,107.5433,0.5487,0.5487,570,570,2,6.067
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",175,版面顺序high,True,quality_improved,90.3843,116.1607,0.4767,0.4905,651,7099,2,5.857
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",177,版面顺序high,True,quality_improved,70.9073,84.7647,0.4506,0.4688,352,586,2,5.884
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",183,版面顺序high,False,quality_not_improved_enough,84.2782,83.9352,0.4862,0.4862,486,486,2,4.775
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",185,版面顺序high,False,quality_not_improved_enough,85.0493,91.1254,0.4998,0.4998,392,392,2,5.154
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",189,版面顺序high,True,quality_improved,87.0594,126.6364,0.4969,0.5862,534,4151,2,5.785
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",195,版面顺序high,True,quality_improved,79.7791,150.8926,0.5089,0.8365,341,9764,2,4.706
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",197,版面顺序high,True,quality_improved,102.626,116.4544,0.5704,0.6506,590,577,2,6.22
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",201,版面顺序high,True,quality_improved,87.5231,98.9564,0.5498,0.6157,342,468,2,5.028
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",203,版面顺序high,True,quality_improved,99.2794,112.3882,0.5784,0.6558,476,504,2,5.087
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",207,版面顺序high,False,quality_not_improved_enough,86.362,81.4479,0.5657,0.5657,338,338,2,3.895
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",211,版面顺序high,False,quality_not_improved_enough,82.9339,85.9702,0.4811,0.4811,548,548,2,6.019
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",242,版面顺序high,True,quality_improved,80.4418,122.6944,0.4589,0.5525,470,8136,2,5.2
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",243,版面顺序high,False,quality_not_improved_enough,71.2356,76.1015,0.4508,0.4508,388,388,2,3.689
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",245,版面顺序high,False,quality_not_improved_enough,80.29,76.8798,0.4817,0.4817,503,503,2,5.522
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",251,版面顺序high,True,quality_improved,88.3792,101.9099,0.5035,0.6075,480,495,2,5.72
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",255,版面顺序high,True,quality_improved,91.879,110.5676,0.5221,0.6542,434,441,2,5.788
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",261,版面顺序high,True,quality_improved,83.3442,99.7494,0.4875,0.566,407,499,2,5.497
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",263,版面顺序high,True,quality_improved,84.0527,111.3707,0.5137,0.4567,447,3817,2,4.866
