row_index,WTUR.CTim.Wt.F32.WindLow
1271,5154.53
1272,5154.53
1273,5154.53
1274,5154.53
1275,5154.53
1276,5154.53
1277,5154.53
1278,5154.53
1279,5154.53
1280,5154.53
1281,5154.53
1282,5154.53
1283,5154.53
1284,5154.53
1285,5154.53
1286,5154.53
1287,5154.53
1288,5154.53
1289,5154.53
1290,5154.53
1291,5154.53
1292,5154.53
1293,5154.53
1294,5154.53
1295,5154.53
1296,5154.53
1297,5154.53
1298,5154.53
1299,5154.53
1300,5154.53
1301,5154.53
1302,5154.53
1303,5154.53
1304,5154.53
1305,5154.53
1306,5154.53
1307,5154.53
1308,5154.53
1309,5154.53
1310,5154.53
1311,5154.53
1312,5154.53
1313,5154.53
1314,5154.53
1315,5154.53
1316,5154.53
1317,5154.53
1318,5154.53
1319,5154.53
1320,5154.53
1321,5154.53
1322,5154.53
1323,5154.53
1324,5154.53
1325,5154.53
1326,5154.53
1327,5154.53
1328,5154.53
1329,5154.53
1330,5154.53
1331,5154.53
1332,5154.53
1333,5154.53
1334,5154.53
1335,5154.53
1336,5154.53
1337,5154.53
1338,5154.53
1339,5154.53
1340,5154.53
1341,5154.53
1342,5154.53
1343,5154.53
1344,5154.53
1345,5154.53
1346,5154.53
1347,5154.53
1348,5154.53
1349,5154.53
1350,5154.53
1351,5154.53
1352,5154.53
1353,5154.53
1354,5154.53
1355,5154.53
1356,5154.53
1357,5154.53
1358,5154.53
1359,5154.53
1360,5154.53
1361,5154.53
1362,5154.53
1363,5154.53
1364,5154.53
1365,5154.53
1366,5154.53
1367,5154.53
1368,5154.53
1369,5154.53
1370,5154.53
1371,5154.53
1372,5154.53
1373,5154.53
1374,5154.53
1375,5154.53
1376,5154.53
1377,5154.53
1378,5154.53
1379,5154.53
1380,5154.53
1381,5154.53
1382,5154.53
1383,5154.53
1384,5154.53
1385,5154.53
1386,5154.53
1387,5154.53
1388,5154.53
1389,5154.53
1390,5154.53
1391,5154.53
1392,5154.53
1393,5154.53
1394,5154.53
1395,5154.53
1396,5154.53
1397,5154.53
1398,5154.53
1399,5154.53
1400,5154.53
1401,5154.53
1402,5154.53
1403,5154.53
1404,5154.53
1405,5154.53
1406,5154.53
1407,5154.53
1408,5154.53
1409,5154.53
1410,5154.53
1411,5154.53
1412,5154.53
1413,5154.53
1414,5154.53
1415,5154.53
1416,5154.53
1417,5154.53
1418,5154.53
1419,5154.53
1420,5154.53
1421,5154.53
1422,5154.53
1423,5154.53
1424,5154.53
1425,5154.53
1426,5154.53
1427,5154.53
1428,5154.53
1429,5154.53
1430,5154.53
1431,5154.53
1432,5154.53
1433,5154.53
1434,5154.53
1435,5154.53
1436,5154.53
1437,5154.53
1438,5154.53
1439,5154.53
1440,5154.53
1441,5154.53
1442,5154.53
1443,5154.53
1444,5154.53
1445,5154.53
1446,5154.53
1447,5154.53
1448,5154.53
1449,5154.53
1450,5154.53
1451,5154.53
1452,5154.53
1453,5154.53
1454,5154.53
1455,5154.53
1456,5154.53
1457,5154.53
1458,5154.53
1459,5154.53
1460,5154.53
