row_index,WTUR.environment_notok
1303,5359.53
1304,5359.53
1305,5359.53
1306,5359.53
1307,5359.53
1308,5359.53
1309,5359.53
1310,5359.53
1311,5359.53
1312,5359.53
1313,5359.53
1314,5359.53
1315,5359.53
1316,5359.53
1317,5359.53
1318,5359.53
1319,5359.53
1320,5359.53
1321,5359.53
1322,5359.53
1323,5359.53
1324,5359.53
1325,5359.53
1326,5359.53
1327,5359.53
1328,5359.53
1329,5359.53
1330,5359.53
1331,5359.53
1332,5359.53
1333,5359.53
1334,5359.53
1335,5359.53
1336,5359.53
1337,5359.53
1338,5359.53
1339,5359.53
1340,5359.53
1341,5359.53
1342,5359.53
1343,5359.53
1344,5359.53
1345,5359.53
1346,5359.53
1347,5359.53
1348,5359.53
1349,5359.53
1350,5359.53
1351,5359.53
1352,5359.53
1353,5359.53
1354,5359.53
1355,5359.53
1356,5359.53
1357,5359.53
1358,5359.53
1359,5359.53
1360,5359.53
1361,5359.53
1362,5359.53
1363,5359.53
1364,5359.53
1365,5359.53
1366,5359.53
1367,5359.53
1368,5359.53
1369,5359.53
1370,5359.53
1371,5359.53
1372,5359.53
1373,5359.53
1374,5359.53
1375,5359.53
1376,5359.53
1377,5359.53
1378,5359.53
1379,5359.53
1380,5359.53
1381,5359.53
1382,5359.53
1383,5359.53
1384,5359.53
1385,5359.53
1386,5359.53
1387,5359.53
1388,5359.53
1389,5359.53
1390,5359.53
1391,5359.53
1392,5359.53
1393,5359.53
1394,5359.53
1395,5359.53
1396,5359.53
1397,5359.53
1398,5359.53
1399,5359.53
1400,5359.53
1401,5359.53
1402,5359.53
1403,5359.53
1404,5359.53
1405,5359.53
1406,5359.53
1407,5359.53
1408,5359.53
1409,5359.53
1410,5359.53
1411,5359.53
1412,5359.53
1413,5359.53
1414,5359.53
1415,5359.53
1416,5359.53
1417,5359.53
1418,5359.53
1419,5359.53
1420,5359.53
1421,5359.53
1422,5359.53
1423,5359.53
1424,5359.53
1425,5359.53
1426,5359.53
1427,5359.53
1428,5359.53
1429,5359.53
1430,5359.53
1431,5359.53
1432,5359.53
1433,5359.53
1434,5359.53
1435,5359.53
1436,5359.53
1437,5359.53
1438,5359.53
1439,5359.53
1440,5359.53
1441,5359.53
1442,5359.53
1443,5359.53
1444,5359.53
1445,5359.53
1446,5359.53
1447,5359.53
1448,5359.53
1449,5359.53
1450,5359.53
1451,5359.53
1452,5359.53
1453,5359.53
1454,5359.53
1455,5359.53
1456,5359.53
1457,5359.53
1458,5359.53
1459,5359.53
1460,5359.53
1461,5359.53
1462,5359.53
1463,5359.53
1464,5359.53
1465,5359.53
1466,5359.53
1467,5359.53
1468,5359.53
1469,5359.53
1470,5359.53
1471,5359.53
1472,5359.53
1473,5359.53
1474,5359.53
1475,5359.53
1476,5359.53
1477,5359.53
1478,5359.53
1479,5359.53
1480,5359.53
1481,5359.53
1482,5359.53
1483,5359.53
1484,5359.53
1485,5359.53
1486,5359.53
1487,5359.53
1488,5359.53
1489,5359.53
1490,5359.53
1491,5359.53
1492,5359.53
1493,5359.53
1494,5359.53
1495,5359.53
1496,5359.53
1497,5359.53
1498,5359.53
1499,5359.53
1500,5359.53
1501,5359.53
1502,5359.53
1503,5359.53
1504,5359.53
1505,5359.53
1506,5359.53
1507,5359.53
1508,5359.53
1509,5359.53
1510,5359.53
1511,5359.53
1512,5359.53
1513,5359.53
1514,5359.53
1515,5359.53
1516,5359.53
1517,5359.53
1518,5359.53
1519,5359.53
1520,5359.53
1521,5359.53
1522,5359.53
1523,5359.53
1524,5359.53
1525,5359.53
1526,5359.53
1527,5359.53
1528,5359.53
1529,5359.53
1530,5359.53
1531,5359.53
1532,5359.53
1533,5359.53
1534,5359.53
1535,5359.53
1536,5359.53
1537,5359.53
1538,5359.53
1539,5359.53
1540,5359.53
1541,5359.53
1542,5359.53
1543,5359.53
1544,5359.53
1545,5359.53
1546,5359.53
1547,5359.53
1548,5359.53
1549,5359.53
1550,5359.53
1551,5359.53
1552,5359.53
1553,5359.53
1554,5359.53
1555,5359.53
1556,5359.53
1557,5359.53
1558,5359.53
1559,5359.53
1560,5359.53
1561,5359.53
1562,5359.53
1563,5359.53
1564,5359.53
1565,5359.53
1566,5359.53
1567,5359.53
1568,5359.53
1569,5359.53
1570,5359.53
1571,5359.53
1572,5359.53
1573,5359.53
1574,5359.53
1575,5359.53
1576,5359.53
1577,5359.53
1578,5359.53
1579,5359.53
1580,5359.53
1581,5359.53
1582,5359.53
1583,5359.53
1584,5359.53
1585,5359.53
1586,5359.53
1587,5359.53
1588,5359.53
1589,5359.53
1590,5359.53
1591,5359.53
1592,5359.53
1593,5359.53
1594,5359.53
1595,5359.53
1596,5359.53
1597,5359.53
1598,5359.53
1599,5359.53
1600,5359.53
1601,5359.53
1602,5359.53
1603,5359.53
1604,5359.53
1605,5359.53
1606,5359.53
1607,5359.53
1608,5359.53
1609,5359.53
1610,5359.53
1611,5359.53
1612,5359.53
1613,5359.53
1614,5359.53
1615,5359.53
1616,5359.53
1617,5359.53
1618,5359.53
1619,5359.53
1620,5359.53
1621,5359.53
1622,5359.53
1623,5359.53
1624,5359.53
1625,5359.53
1626,5359.53
1627,5359.53
1628,5359.53
1629,5359.53
1630,5359.53
1631,5359.53
1632,5359.53
1633,5359.53
1634,5359.53
1635,5359.53
1636,5359.53
1637,5359.53
1638,5359.53
1639,5359.53
1640,5359.53
1641,5359.53
1642,5359.53
1643,5359.53
1644,5359.53
1645,5359.53
1646,5359.53
1647,5359.53
1648,5359.53
1649,5359.53
1650,5359.53
1651,5359.53
1652,5359.53
1653,5359.53
1654,5359.53
1655,5359.53
1656,5359.53
1657,5359.53
1658,5359.53
1659,5359.53
1660,5359.53
1661,5359.53
1662,5359.53
1663,5359.53
1664,5359.53
1665,5359.53
1666,5359.53
1667,5359.53
1668,5359.53
1669,5359.53
1670,5359.53
1671,5359.53
1672,5359.53
1673,5359.53
1674,5359.53
1675,5359.53
1676,5359.53
1677,5359.53
1678,5359.53
1679,5359.53
1680,5359.53
1681,5359.53
1682,5359.53
1683,5359.53
1684,5359.53
1685,5359.53
1686,5359.53
1687,5359.53
1688,5359.53
1689,5359.53
1690,5359.53
1691,5359.53
1692,5359.53
1693,5359.53
1694,5359.53
1695,5359.53
1696,5359.53
1697,5359.53
1698,5359.53
1699,5359.53
1700,5359.53
1701,5359.53
1702,5359.53
1703,5359.53
1704,5359.53
1705,5359.53
1706,5359.53
1707,5359.53
1708,5359.53
1709,5359.53
1710,5359.53
1711,5359.53
1712,5359.53
1713,5359.53
1714,5359.53
1715,5359.53
1716,5359.53
1717,5359.53
1718,5359.53
1719,5359.53
1720,5359.53
1721,5359.53
1722,5359.53
1723,5359.53
1724,5359.53
1725,5359.53
1726,5359.53
1727,5359.53
1728,5359.53
1729,5359.53
1730,5359.53
1731,5359.53
1732,5359.53
1733,5359.53
1734,5359.53
1735,5359.53
1736,5359.53
1737,5359.53
1738,5359.53
1739,5359.53
1740,5359.53
1741,5359.53
1742,5359.53
1743,5359.53
1744,5359.53
1745,5359.53
1746,5359.53
1747,5359.53
1748,5359.53
1749,5359.53
1750,5359.53
1751,5359.53
1752,5359.53
1753,5359.53
1754,5359.53
1755,5359.53
1756,5359.53
1757,5359.53
1758,5359.53
1759,5359.53
1760,5359.53
1761,5359.53
1762,5359.53
1763,5359.53
1764,5359.53
1765,5359.53
1766,5359.53
1767,5359.53
1768,5359.53
1769,5359.53
1770,5359.53
1771,5359.53
1772,5359.53
1773,5359.53
1774,5359.53
1775,5359.53
1776,5359.53
1777,5359.53
1778,5359.53
1779,5359.53
1780,5359.53
1781,5359.53
1782,5359.53
1783,5359.53
1784,5359.53
1785,5359.53
1786,5359.53
1787,5359.53
1788,5359.53
1789,5359.53
1790,5359.53
1791,5359.53
1792,5359.53
1793,5359.53
1794,5359.53
1795,5359.53
1796,5359.53
1797,5359.53
1798,5359.53
1799,5359.53
1800,5359.53
1801,5359.53
1802,5359.53
1803,5359.53
1804,5359.53
1805,5359.53
1806,5359.53
1807,5359.53
1808,5359.53
1809,5359.53
1810,5359.53
1811,5359.53
1812,5359.53
1813,5359.53
1814,5359.53
1815,5359.53
1816,5359.53
1817,5359.53
1818,5359.53
1819,5359.53
1820,5359.53
1821,5359.53
1822,5359.53
1823,5359.53
1824,5359.53
1825,5359.53
1826,5359.53
1827,5359.53
1828,5359.53
1829,5359.53
1830,5359.53
1831,5359.53
1832,5359.53
1833,5359.53
1834,5359.53
1835,5359.53
1836,5359.53
1837,5359.53
1838,5359.53
1839,5359.53
1840,5359.53
1841,5359.53
1842,5359.53
1843,5359.53
1844,5359.53
1845,5359.53
1846,5359.53
1847,5359.53
1848,5359.53
1849,5359.53
1850,5359.53
1851,5359.53
1852,5359.53
1853,5359.53
1854,5359.53
1855,5359.53
1856,5359.53
1857,5359.53
1858,5359.53
1859,5359.53
1860,5359.53
