row_index,WTUR.CTim.Wt.F32.WindElec
1551,27242.46
1552,27242.46
1553,27242.46
1554,27242.47
1555,27242.47
1556,27242.47
1557,27242.47
1558,27242.47
1559,27242.48
1560,27242.48
1561,27242.48
1562,27242.48
1563,27242.48
1564,27242.49
1565,27242.49
1566,27242.49
1567,27242.49
1568,27242.49
1569,27242.5
1570,27242.5
1571,27242.5
1572,27242.5
1573,27242.5
1574,27242.51
1575,27242.51
1576,27242.51
1577,27242.51
1578,27242.51
1579,27242.52
1580,27242.52
1581,27242.52
1582,27242.52
1583,27242.52
1584,27242.53
1585,27242.53
1586,27242.53
1587,27242.53
1588,27242.53
1589,27242.54
1590,27242.54
1591,27242.54
1592,27242.54
1593,27242.54
1594,27242.55
1595,27242.55
1596,27242.55
1597,27242.55
1598,27242.55
1599,27242.55
1600,27242.56
1601,27242.56
1602,27242.56
1603,27242.56
1604,27242.56
1605,27242.57
1606,27242.57
1607,27242.57
1608,27242.57
1609,27242.57
1610,27242.58
1611,27242.58
1612,27242.58
1613,27242.58
1614,27242.58
1615,27242.59
1616,27242.59
1617,27242.59
1618,27242.59
1619,27242.59
1620,27242.6
1621,27242.6
1622,27242.6
1623,27242.6
1624,27242.6
1625,27242.61
1626,27242.61
1627,27242.61
1628,27242.61
1629,27242.61
1630,27242.62
1631,27242.62
1632,27242.62
1633,27242.62
1634,27242.62
1635,27242.63
1636,27242.63
1637,27242.63
1638,27242.63
1639,27242.63
1640,27242.64
1641,27242.64
1642,27242.64
1643,27242.64
1644,27242.64
1645,27242.65
1646,27242.65
1647,27242.65
1648,27242.65
1649,27242.65
1650,27242.66
1651,27242.66
1652,27242.66
1653,27242.66
1654,27242.66
1655,27242.67
1656,27242.67
1657,27242.67
1658,27242.67
1659,27242.67
1660,27242.68
1661,27242.68
1662,27242.68
1663,27242.68
1664,27242.68
1665,27242.69
1666,27242.69
1667,27242.69
1668,27242.69
1669,27242.69
1670,27242.7
1671,27242.7
1672,27242.7
1673,27242.7
1674,27242.7
1675,27242.71
1676,27242.71
1677,27242.71
1678,27242.71
1679,27242.71
1680,27242.72
1681,27242.72
1682,27242.72
1683,27242.72
1684,27242.72
1685,27242.72
1686,27242.73
1687,27242.73
1688,27242.73
1689,27242.73
1690,27242.73
1691,27242.74
1692,27242.74
1693,27242.74
1694,27242.74
1695,27242.74
1696,27242.75
1697,27242.75
1698,27242.75
1699,27242.75
1700,27242.75
1701,27242.76
1702,27242.76
1703,27242.76
1704,27242.76
1705,27242.76
1706,27242.77
1707,27242.77
1708,27242.77
1709,27242.77
1710,27242.77
1711,27242.78
1712,27242.78
1713,27242.78
1714,27242.78
1715,27242.78
1716,27242.79
1717,27242.79
1718,27242.79
1719,27242.79
1720,27242.79
1721,27242.8
1722,27242.8
1723,27242.8
1724,27242.8
1725,27242.8
1726,27242.81
1727,27242.81
1728,27242.81
1729,27242.81
1730,27242.81
1731,27242.82
1732,27242.82
1733,27242.82
1734,27242.82
1735,27242.82
1736,27242.83
1737,27242.83
1738,27242.83
1739,27242.83
1740,27242.83
1741,27242.84
1742,27242.84
1743,27242.84
1744,27242.84
1745,27242.84
1746,27242.85
1747,27242.85
1748,27242.85
1749,27242.85
1750,27242.85
1751,27242.86
1752,27242.86
1753,27242.86
1754,27242.86
1755,27242.86
1756,27242.87
1757,27242.87
1758,27242.87
1759,27242.87
1760,27242.87
1761,27242.88
1762,27242.88
1763,27242.88
1764,27242.88
1765,27242.88
1766,27242.88
1767,27242.89
1768,27242.89
1769,27242.89
1770,27242.89
1771,27242.89
1772,27242.9
1773,27242.9
1774,27242.9
1775,27242.9
1776,27242.9
1777,27242.91
1778,27242.91
1779,27242.91
1780,27242.91
1781,27242.91
1782,27242.92
1783,27242.92
1784,27242.92
1785,27242.92
1786,27242.92
1787,27242.93
1788,27242.93
1789,27242.93
1790,27242.93
1791,27242.93
1792,27242.94
1793,27242.94
1794,27242.94
1795,27242.94
1796,27242.94
1797,27242.95
1798,27242.95
1799,27242.95
1800,27242.95
1801,27242.95
1802,27242.96
1803,27242.96
1804,27242.96
1805,27242.96
1806,27242.96
1807,27242.97
1808,27242.97
1809,27242.97
1810,27242.97
1811,27242.97
1812,27242.98
1813,27242.98
1814,27242.98
1815,27242.98
1816,27242.98
1817,27242.99
1818,27242.99
1819,27242.99
1820,27242.99
1821,27242.99
1822,27243.0
1823,27243.0
1824,27243.0
1825,27243.0
1826,27243.0
1827,27243.01
1828,27243.01
1829,27243.01
1830,27243.01
1831,27243.01
1832,27243.02
1833,27243.02
1834,27243.02
1835,27243.02
1836,27243.02
1837,27243.03
1838,27243.03
1839,27243.03
1840,27243.03
1841,27243.03
1842,27243.04
1843,27243.04
1844,27243.04
1845,27243.04
1846,27243.04
1847,27243.05
1848,27243.05
1849,27243.05
1850,27243.05
1851,27243.05
1852,27243.05
1853,27243.06
1854,27243.06
1855,27243.06
1856,27243.06
1857,27243.06
1858,27243.07
1859,27243.07
1860,27243.07
1861,27243.07
1862,27243.07
1863,27243.08
1864,27243.08
1865,27243.08
