row_index,WGEN.Conver_DC_Volt_negative
1156,-553.04
1157,-552.36
1158,-553.04
1159,-552.36
1160,-553.04
1161,-551.67
1162,-553.04
1163,-552.36
1164,-553.04
1165,-553.04
1166,-552.36
1167,-552.01
1168,-552.36
1169,-552.36
1170,-552.01
1171,-552.36
1172,-552.01
1173,-552.36
1174,-552.36
1175,-553.38
1176,-553.04
1177,-552.01
1178,-552.36
1179,-552.01
1180,-552.36
1181,-552.36
1182,-552.01
1183,-552.01
1184,-552.36
1185,-552.36
1186,-552.36
1187,-552.01
1188,-553.04
1189,-553.38
1190,-552.36
1191,-552.01
1192,-552.36
1193,-553.04
1194,-552.36
1195,-552.01
1196,-552.36
1197,-551.67
1198,-552.01
1199,-550.99
1200,-551.33
1201,-553.04
1202,-552.01
1203,-551.67
1204,-552.01
1205,-551.67
1206,-551.67
1207,-552.01
1208,-552.01
1209,-551.33
1210,-552.01
1211,-552.01
1212,-552.36
1213,-552.01
1214,-552.01
1215,-552.36
1216,-552.01
1217,-553.04
1218,-552.36
1219,-553.04
1220,-553.04
1221,-552.36
1222,-553.04
1223,-553.38
1224,-552.36
1225,-552.36
1226,-553.04
1227,-552.36
1228,-552.36
1229,-553.04
1230,-553.38
1231,-553.04
1232,-553.04
1233,-553.04
1234,-552.36
1235,-552.01
1236,-552.36
1237,-553.04
1238,-552.36
1239,-552.36
1240,-553.04
1241,-553.04
1242,-553.04
1243,-553.04
1244,-552.01
1245,-552.01
1246,-553.04
1247,-552.36
1248,-552.36
1249,-553.04
1250,-552.36
1251,-553.04
1252,-552.01
1253,-553.04
1254,-552.01
1255,-552.01
1256,-552.01
1257,-552.01
1258,-552.36
1259,-552.36
1260,-552.36
1261,-552.01
1262,-553.04
1263,-552.01
1264,-552.01
1265,-552.01
1266,-552.36
1267,-552.36
1268,-552.36
1269,-552.36
1270,-553.04
1271,-552.36
1272,-553.38
1273,-552.36
1274,-552.36
1275,-553.38
1276,-552.36
1277,-553.04
1278,-552.36
1279,-553.04
1280,-552.36
1281,-552.01
1282,-551.33
1283,-551.67
1284,-551.67
1285,-551.67
1286,-552.36
1287,-553.04
1288,-552.36
1289,-553.04
1290,-553.04
1291,-552.36
1292,-552.36
1293,-552.36
1294,-553.04
1295,-552.36
1296,-553.38
1297,-552.36
1298,-552.36
1299,-552.01
1300,-553.04
1301,-552.36
1302,-552.01
1303,-552.01
1304,-552.01
1305,-553.04
1306,-552.01
1307,-552.01
1308,-551.67
1309,-551.67
1310,-552.36
1311,-551.67
1312,-552.01
1313,-551.67
1314,-552.01
1315,-551.67
1316,-552.01
1317,-551.67
1318,-552.01
1319,-551.67
1320,-552.01
1321,-551.67
1322,-552.36
1323,-552.01
1324,-551.67
1325,-551.67
1326,-552.36
1327,-552.01
1328,-552.01
1329,-552.01
1330,-551.67
1331,-551.67
1332,-550.99
1333,-551.67
1334,-551.67
1335,-551.67
1336,-552.01
1337,-551.67
1338,-550.99
1339,-552.01
1340,-551.33
1341,-552.01
1342,-551.33
1343,-551.33
1344,-550.65
1345,-551.33
1346,-550.99
1347,-550.99
1348,-551.33
1349,-551.67
1350,-551.33
1351,-551.33
1352,-550.99
1353,-551.33
1354,-550.65
1355,-549.96
1356,-550.65
1357,-550.65
1358,-550.65
1359,-550.99
1360,-550.99
1361,-550.99
1362,-551.33
1363,-550.65
1364,-550.99
1365,-551.33
1366,-551.33
1367,-550.65
1368,-550.99
1369,-549.96
1370,-550.65
1371,-551.33
1372,-550.99
1373,-551.33
1374,-550.65
1375,-550.65
1376,-550.99
1377,-549.96
1378,-550.65
1379,-551.33
1380,-549.96
1381,-550.65
1382,-550.99
1383,-550.65
1384,-551.33
1385,-550.99
1386,-549.96
1387,-551.33
1388,-551.67
1389,-551.33
1390,-551.33
1391,-549.96
1392,-550.99
1393,-550.65
1394,-550.65
1395,-550.99
1396,-550.65
1397,-550.99
1398,-551.33
1399,-551.33
1400,-550.99
1401,-551.67
1402,-550.99
1403,-551.33
1404,-551.67
1405,-551.33
1406,-552.01
1407,-551.67
1408,-550.65
1409,-551.33
1410,-550.99
1411,-550.99
1412,-550.99
1413,-551.33
1414,-550.65
1415,-550.65
1416,-550.99
1417,-551.67
1418,-552.01
1419,-552.01
1420,-551.33
1421,-550.99
1422,-552.01
1423,-551.33
1424,-551.33
1425,-551.33
1426,-551.33
1427,-550.65
1428,-551.33
1429,-550.65
1430,-551.67
1431,-550.99
1432,-551.33
1433,-551.33
1434,-551.33
1435,-550.99
1436,-550.65
1437,-550.65
1438,-550.99
1439,-551.33
1440,-551.67
1441,-550.65
1442,-551.33
1443,-551.67
1444,-550.99
1445,-551.33
1446,-551.67
1447,-552.01
1448,-551.67
1449,-551.33
1450,-551.67
1451,-551.33
1452,-551.67
1453,-552.01
1454,-551.67
1455,-550.99
1456,-551.67
1457,-552.01
1458,-551.67
1459,-552.01
1460,-552.01
1461,-552.01
1462,-551.33
1463,-551.33
1464,-551.67
1465,-550.99
1466,-551.67
1467,-552.01
1468,-551.67
1469,-552.36
1470,-552.36
1471,-551.67
1472,-551.33
1473,-551.33
1474,-551.33
1475,-551.33
1476,-551.33
1477,-551.33
1478,-551.33
1479,-551.33
1480,-551.67
1481,-551.33
1482,-551.33
1483,-551.67
1484,-550.99
1485,-551.33
1486,-550.99
1487,-551.67
1488,-551.67
1489,-551.67
1490,-551.33
1491,-551.67
1492,-551.67
1493,-550.99
1494,-550.65
1495,-552.01
1496,-551.67
1497,-551.33
1498,-551.67
1499,-552.01
1500,-551.67
1501,-550.99
1502,-552.01
1503,-551.67
1504,-553.04
1505,-551.33
1506,-552.01
1507,-552.01
1508,-551.67
1509,-551.33
1510,-551.67
1511,-551.33
1512,-552.01
1513,-552.01
1514,-551.67
1515,-552.01
1516,-552.36
1517,-551.67
1518,-552.01
1519,-552.01
1520,-551.67
1521,-551.67
1522,-551.67
1523,-551.33
1524,-551.33
1525,-551.67
1526,-552.01
1527,-551.33
1528,-551.33
1529,-552.01
1530,-551.33
1531,-552.01
1532,-552.36
1533,-550.99
1534,-552.01
1535,-551.67
1536,-551.33
1537,-551.67
1538,-551.67
1539,-552.01
1540,-551.67
1541,-553.04
1542,-551.67
1543,-552.01
1544,-551.67
1545,-552.36
1546,-552.01
1547,-550.99
1548,-552.01
1549,-552.36
1550,-552.01
1551,-551.67
1552,-551.67
1553,-551.67
1554,-551.33
1555,-551.67
1556,-550.65
1557,-551.33
1558,-550.65
1559,-550.99
1560,-550.99
1561,-551.33
1562,-550.99
1563,-551.33
1564,-550.99
1565,-551.67
1566,-550.99
1567,-550.65
1568,-550.99
1569,-550.65
1570,-550.99
1571,-551.33
1572,-550.65
1573,-550.65
1574,-551.33
1575,-550.99
1576,-551.33
1577,-550.65
1578,-549.96
1579,-550.99
1580,-550.99
1581,-551.67
1582,-551.33
1583,-550.99
1584,-550.99
1585,-551.33
1586,-550.99
1587,-551.33
1588,-551.67
1589,-551.33
1590,-551.67
1591,-551.33
1592,-550.99
1593,-551.33
1594,-550.99
1595,-550.99
1596,-550.99
1597,-551.67
1598,-551.33
1599,-551.33
1600,-551.67
1601,-551.33
1602,-550.99
1603,-550.65
1604,-551.33
1605,-550.99
1606,-551.33
1607,-550.99
1608,-551.33
1609,-550.99
1610,-550.99
1611,-551.67
1612,-551.67
1613,-551.67
1614,-551.67
1615,-551.67
1616,-551.67
1617,-551.67
1618,-550.99
1619,-550.99
1620,-551.33
1621,-551.33
1622,-551.67
1623,-550.99
1624,-550.65
1625,-550.65
1626,-550.99
1627,-550.99
1628,-550.65
1629,-550.65
1630,-550.99
1631,-550.99
1632,-550.65
1633,-551.33
1634,-550.99
1635,-550.65
1636,-550.99
1637,-550.65
1638,-550.65
1639,-549.96
1640,-549.96
1641,-549.96
1642,-549.62
1643,-549.28
1644,-550.65
1645,-550.65
1646,-550.65
1647,-550.65
1648,-549.96
1649,-549.62
1650,-550.99
1651,-550.65
1652,-550.65
1653,-550.99
1654,-550.65
1655,-549.96
1656,-550.65
1657,-549.96
1658,-551.33
1659,-550.65
1660,-550.65
1661,-550.99
1662,-550.99
1663,-550.65
1664,-550.99
1665,-549.96
1666,-550.65
1667,-550.65
1668,-549.96
1669,-550.99
1670,-550.99
1671,-550.99
1672,-550.65
1673,-550.99
1674,-550.65
1675,-551.33
1676,-550.65
1677,-550.65
1678,-551.33
1679,-550.99
1680,-551.33
1681,-550.99
1682,-550.65
1683,-550.99
1684,-550.65
1685,-550.99
1686,-550.99
1687,-550.99
1688,-550.99
1689,-550.65
1690,-549.96
1691,-550.99
1692,-550.99
1693,-550.99
1694,-550.99
1695,-551.33
1696,-550.65
1697,-549.62
1698,-550.65
1699,-549.96
1700,-550.65
1701,-550.99
1702,-550.99
1703,-550.65
1704,-551.33
1705,-552.01
1706,-550.65
1707,-551.33
1708,-550.65
1709,-550.99
1710,-551.67
1711,-550.99
1712,-551.67
1713,-549.96
1714,-550.99
1715,-550.99
1716,-551.33
1717,-550.99
1718,-550.65
1719,-550.99
1720,-551.33
1721,-550.65
1722,-550.99
1723,-551.33
1724,-550.99
1725,-550.99
1726,-550.99
1727,-550.65
1728,-550.99
1729,-551.33
1730,-549.96
1731,-550.99
1732,-550.99
1733,-549.96
1734,-549.62
1735,-550.65
1736,-550.65
1737,-549.96
1738,-549.96
1739,-549.62
1740,-550.65
1741,-549.96
1742,-550.65
1743,-550.99
1744,-550.65
1745,-550.65
1746,-551.67
1747,-550.99
1748,-550.65
1749,-551.33
1750,-550.65
1751,-550.65
1752,-550.99
1753,-549.62
1754,-549.96
1755,-549.96
1756,-550.65
1757,-549.96
1758,-550.99
1759,-549.96
1760,-551.67
1761,-550.65
1762,-549.96
1763,-550.99
1764,-549.96
1765,-550.65
1766,-549.62
1767,-550.65
1768,-550.65
1769,-550.65
1770,-549.96
1771,-550.65
1772,-549.62
1773,-549.96
1774,-549.96
1775,-549.28
1776,-550.65
1777,-549.96
1778,-549.62
1779,-549.96
1780,-549.96
1781,-550.65
1782,-549.96
1783,-549.62
1784,-550.65
1785,-549.62
1786,-549.96
1787,-549.62
1788,-549.62
1789,-550.65
1790,-549.96
1791,-549.96
1792,-550.99
1793,-550.65
1794,-549.96
1795,-549.96
1796,-550.65
1797,-549.96
1798,-549.62
1799,-549.96
1800,-549.28
1801,-550.99
1802,-549.62
1803,-550.65
1804,-550.65
1805,-550.65
1806,-549.96
1807,-549.96
1808,-549.96
1809,-549.62
1810,-549.96
1811,-549.96
1812,-549.28
1813,-549.28
1814,-549.96
1815,-549.62
1816,-549.62
1817,-549.62
1818,-549.96
1819,-549.62
1820,-549.62
1821,-549.96
1822,-549.62
1823,-549.62
1824,-549.28
1825,-549.96
1826,-549.28
1827,-549.62
1828,-549.96
1829,-549.62
1830,-549.28
1831,-549.28
1832,-549.28
1833,-549.62
1834,-549.28
1835,-549.28
1836,-549.62
1837,-549.28
1838,-549.62
1839,-549.62
1840,-549.62
1841,-549.62
1842,-549.62
1843,-549.28
1844,-549.62
1845,-549.96
1846,-549.62
1847,-550.99
