row_index,WNAC.AccY
772,-0.01
773,-0.01
774,0.0
775,-0.01
776,0.0
777,-0.01
778,0.0
779,-0.01
780,-0.01
781,-0.01
782,0.0
783,0.0
784,-0.01
785,0.0
786,-0.01
787,-0.01
788,-0.01
789,-0.01
790,0.0
791,-0.01
792,0.0
793,0.0
794,-0.01
795,0.0
796,-0.01
797,0.0
798,-0.01
799,-0.01
800,0.0
801,-0.01
802,-0.01
803,0.0
804,-0.01
805,-0.01
806,0.0
807,0.0
808,0.0
809,0.0
810,-0.01
811,-0.01
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,-0.01
819,-0.01
820,-0.01
821,-0.01
822,0.0
823,0.0
824,-0.01
825,0.0
826,0.0
827,-0.01
828,0.0
829,-0.01
830,-0.01
831,-0.01
832,-0.01
833,0.0
834,-0.01
835,0.0
836,-0.01
837,0.0
838,-0.01
839,-0.01
840,0.0
841,0.0
842,0.0
843,0.0
844,-0.01
845,-0.01
846,-0.01
847,-0.01
848,0.0
849,-0.01
850,0.0
851,0.0
852,-0.01
853,0.0
854,0.0
855,0.0
856,-0.01
857,0.0
858,-0.01
859,0.0
860,-0.01
861,0.0
862,0.0
863,0.0
864,0.0
865,-0.01
866,-0.01
867,-0.01
868,-0.01
869,0.0
870,0.0
871,0.0
872,0.0
873,-0.01
874,-0.01
875,0.0
876,-0.01
877,0.0
878,0.0
879,-0.01
880,-0.01
881,-0.01
882,0.0
883,0.0
884,-0.01
885,0.0
886,-0.01
887,-0.01
888,0.0
889,0.0
890,0.0
891,0.0
892,-0.01
893,-0.02
894,-0.01
895,-0.01
896,0.0
897,0.0
898,-0.01
899,-0.02
900,0.0
901,-0.01
902,-0.01
903,0.0
904,0.0
905,0.0
906,0.0
907,-0.02
908,0.0
909,0.0
910,0.0
911,0.0
912,-0.01
913,-0.01
914,-0.01
915,-0.01
916,0.0
917,0.0
918,0.0
919,0.0
920,-0.01
921,-0.01
922,0.0
923,0.0
924,0.0
925,-0.01
926,-0.01
927,-0.01
928,0.0
929,-0.01
930,0.0
931,-0.01
932,0.0
933,-0.01
934,-0.01
935,-0.01
936,0.0
937,-0.01
938,0.0
939,0.0
940,-0.01
941,-0.01
942,0.0
943,0.0
944,0.0
945,0.0
946,-0.01
947,-0.01
948,0.0
949,-0.01
950,0.0
951,0.0
952,-0.01
953,0.0
954,-0.01
955,0.0
956,-0.01
957,0.0
958,0.0
959,-0.01
960,-0.01
961,-0.01
962,0.0
963,0.0
964,0.0
965,0.0
966,-0.01
967,-0.01
968,-0.01
969,-0.01
970,0.0
971,0.0
972,-0.01
973,0.0
974,-0.01
975,-0.01
976,0.0
