row_index,WGEN.TotTm.actTmVal_h
1323,41599.75
1324,41599.76
1325,41599.76
1326,41599.76
1327,41599.76
1328,41599.76
1329,41599.76
1330,41599.77
1331,41599.77
1332,41599.77
1333,41599.77
1334,41599.78
1335,41599.78
1336,41599.78
1337,41599.78
1338,41599.78
1339,41599.78
1340,41599.79
1341,41599.79
1342,41599.79
1343,41599.79
1344,41599.8
1345,41599.8
1346,41599.8
1347,41599.8
1348,41599.8
1349,41599.8
1350,41599.81
1351,41599.81
1352,41599.81
1353,41599.81
1354,41599.82
1355,41599.82
1356,41599.82
1357,41599.82
1358,41599.82
1359,41599.82
1360,41599.83
1361,41599.83
1362,41599.83
1363,41599.83
1364,41599.83
1365,41599.83
1366,41599.84
1367,41599.84
1368,41599.84
1369,41599.84
1370,41599.85
1371,41599.85
1372,41599.85
1373,41599.85
1374,41599.85
1375,41599.85
1376,41599.86
1377,41599.86
1378,41599.86
1379,41599.87
1380,41599.87
1381,41599.87
1382,41599.87
1383,41599.87
1384,41599.87
1385,41599.88
1386,41599.88
1387,41599.88
1388,41599.88
1389,41599.89
1390,41599.89
1391,41599.89
1392,41599.89
1393,41599.89
1394,41599.89
1395,41599.9
1396,41599.9
1397,41599.9
1398,41599.9
1399,41599.91
1400,41599.91
1401,41599.91
1402,41599.91
1403,41599.91
1404,41599.91
1405,41599.92
1406,41599.92
1407,41599.92
1408,41599.92
1409,41599.92
1410,41599.92
1411,41599.93
1412,41599.93
1413,41599.93
1414,41599.93
1415,41599.94
1416,41599.94
1417,41599.94
1418,41599.94
1419,41599.94
1420,41599.95
1421,41599.95
1422,41599.95
1423,41599.95
1424,41599.96
1425,41599.96
1426,41599.96
1427,41599.96
1428,41599.96
1429,41599.96
1430,41599.96
1431,41599.97
1432,41599.97
1433,41599.97
1434,41599.98
1435,41599.98
1436,41599.98
1437,41599.98
1438,41599.98
1439,41599.98
1440,41599.99
1441,41599.99
1442,41599.99
1443,41599.99
1444,41600.0
1445,41600.0
1446,41600.0
1447,41600.0
1448,41600.0
1449,41600.0
1450,41600.01
1451,41600.01
1452,41600.01
1453,41600.01
1454,41600.01
1455,41600.01
1456,41600.02
1457,41600.02
1458,41600.02
1459,41600.02
1460,41600.03
1461,41600.03
1462,41600.03
1463,41600.03
1464,41600.03
1465,41600.03
1466,41600.04
1467,41600.04
1468,41600.04
1469,41600.04
1470,41600.05
1471,41600.05
1472,41600.05
1473,41600.05
1474,41600.05
1475,41600.06
1476,41600.06
1477,41600.06
1478,41600.06
1479,41600.07
1480,41600.07
1481,41600.07
1482,41600.07
1483,41600.07
1484,41600.07
1485,41600.08
1486,41600.08
1487,41600.08
1488,41600.08
1489,41600.08
1490,41600.08
1491,41600.09
1492,41600.09
1493,41600.09
1494,41600.09
1495,41600.1
1496,41600.1
1497,41600.1
1498,41600.1
1499,41600.1
1500,41600.1
1501,41600.11
1502,41600.11
1503,41600.11
1504,41600.11
1505,41600.12
1506,41600.12
1507,41600.12
1508,41600.12
1509,41600.12
1510,41600.13
1511,41600.13
1512,41600.13
1513,41600.13
1514,41600.13
1515,41600.14
1516,41600.14
1517,41600.14
1518,41600.14
1519,41600.14
1520,41600.14
1521,41600.15
1522,41600.15
1523,41600.15
1524,41600.15
1525,41600.16
1526,41600.16
1527,41600.16
1528,41600.16
1529,41600.16
1530,41600.16
1531,41600.17
1532,41600.17
1533,41600.17
1534,41600.17
1535,41600.17
1536,41600.18
1537,41600.18
1538,41600.18
1539,41600.18
1540,41600.18
1541,41600.19
1542,41600.19
1543,41600.19
1544,41600.19
1545,41600.19
1546,41600.2
1547,41600.2
1548,41600.2
1549,41600.2
1550,41600.21
1551,41600.21
1552,41600.21
1553,41600.21
1554,41600.21
1555,41600.21
1556,41600.22
1557,41600.22
1558,41600.22
1559,41600.22
1560,41600.23
1561,41600.23
1562,41600.23
1563,41600.23
1564,41600.23
1565,41600.23
1566,41600.24
1567,41600.24
1568,41600.24
1569,41600.24
1570,41600.25
1571,41600.25
1572,41600.25
1573,41600.25
1574,41600.25
1575,41600.25
1576,41600.26
1577,41600.26
1578,41600.26
1579,41600.26
1580,41600.26
1581,41600.27
1582,41600.27
1583,41600.27
1584,41600.27
1585,41600.28
1586,41600.28
1587,41600.28
1588,41600.28
1589,41600.28
1590,41600.28
1591,41600.29
1592,41600.29
1593,41600.29
1594,41600.29
1595,41600.3
1596,41600.3
1597,41600.3
1598,41600.3
1599,41600.3
1600,41600.3
1601,41600.3
1602,41600.31
1603,41600.31
1604,41600.31
1605,41600.31
1606,41600.32
1607,41600.32
1608,41600.32
1609,41600.32
1610,41600.32
1611,41600.32
1612,41600.33
1613,41600.33
1614,41600.33
1615,41600.33
1616,41600.33
1617,41600.34
1618,41600.34
1619,41600.34
1620,41600.34
1621,41600.35
1622,41600.35
1623,41600.35
1624,41600.35
1625,41600.35
1626,41600.35
1627,41600.36
1628,41600.36
1629,41600.36
1630,41600.36
1631,41600.37
1632,41600.37
1633,41600.37
1634,41600.37
1635,41600.37
1636,41600.37
1637,41600.38
1638,41600.38
1639,41600.38
1640,41600.38
1641,41600.39
1642,41600.39
1643,41600.39
1644,41600.39
1645,41600.39
1646,41600.39
1647,41600.4
1648,41600.4
1649,41600.4
1650,41600.4
1651,41600.41
1652,41600.41
1653,41600.41
1654,41600.41
1655,41600.41
1656,41600.42
1657,41600.42
1658,41600.42
1659,41600.42
1660,41600.42
1661,41600.42
1662,41600.43
1663,41600.43
1664,41600.43
1665,41600.43
1666,41600.44
1667,41600.44
1668,41600.44
1669,41600.44
1670,41600.44
1671,41600.44
1672,41600.45
1673,41600.45
1674,41600.45
1675,41600.45
1676,41600.46
1677,41600.46
1678,41600.46
1679,41600.46
1680,41600.46
1681,41600.46
1682,41600.46
1683,41600.47
1684,41600.47
1685,41600.47
1686,41600.47
1687,41600.48
1688,41600.48
1689,41600.48
1690,41600.48
1691,41600.48
1692,41600.48
1693,41600.49
1694,41600.49
1695,41600.49
1696,41600.49
1697,41600.5
1698,41600.5
1699,41600.5
1700,41600.5
1701,41600.5
1702,41600.5
1703,41600.51
1704,41600.51
1705,41600.51
1706,41600.51
1707,41600.51
1708,41600.52
1709,41600.52
1710,41600.52
1711,41600.52
1712,41600.53
1713,41600.53
1714,41600.53
1715,41600.53
1716,41600.53
1717,41600.53
1718,41600.54
1719,41600.54
1720,41600.54
1721,41600.54
1722,41600.55
1723,41600.55
1724,41600.55
1725,41600.55
1726,41600.55
1727,41600.55
1728,41600.56
1729,41600.56
1730,41600.56
1731,41600.56
1732,41600.57
1733,41600.57
1734,41600.57
1735,41600.57
1736,41600.57
1737,41600.57
1738,41600.58
1739,41600.58
1740,41600.58
1741,41600.58
1742,41600.58
1743,41600.59
1744,41600.59
1745,41600.59
1746,41600.59
1747,41600.6
1748,41600.6
1749,41600.6
1750,41600.6
1751,41600.6
1752,41600.6
1753,41600.61
1754,41600.61
1755,41600.61
1756,41600.61
1757,41600.62
1758,41600.62
1759,41600.62
1760,41600.62
1761,41600.62
1762,41600.62
1763,41600.63
1764,41600.63
1765,41600.63
1766,41600.63
1767,41600.63
1768,41600.64
1769,41600.64
1770,41600.64
1771,41600.64
1772,41600.64
1773,41600.64
1774,41600.65
1775,41600.65
1776,41600.65
1777,41600.66
1778,41600.66
1779,41600.66
1780,41600.66
1781,41600.66
1782,41600.66
1783,41600.67
1784,41600.67
1785,41600.67
1786,41600.67
1787,41600.67
1788,41600.67
1789,41600.68
1790,41600.68
1791,41600.68
1792,41600.68
1793,41600.69
1794,41600.69
1795,41600.69
1796,41600.69
1797,41600.69
1798,41600.69
1799,41600.7
1800,41600.7
1801,41600.7
1802,41600.7
1803,41600.71
1804,41600.71
1805,41600.71
1806,41600.71
1807,41600.71
1808,41600.71
1809,41600.72
1810,41600.72
1811,41600.72
1812,41600.72
1813,41600.73
1814,41600.73
1815,41600.73
1816,41600.73
1817,41600.73
1818,41600.74
1819,41600.74
1820,41600.74
1821,41600.74
1822,41600.75
1823,41600.75
1824,41600.75
1825,41600.75
1826,41600.75
1827,41600.75
1828,41600.76
1829,41600.76
1830,41600.76
1831,41600.76
1832,41600.76
1833,41600.76
1834,41600.77
1835,41600.77
1836,41600.77
1837,41600.77
1838,41600.78
1839,41600.78
1840,41600.78
1841,41600.78
1842,41600.78
1843,41600.78
1844,41600.79
1845,41600.79
1846,41600.79
1847,41600.79
1848,41600.8
1849,41600.8
1850,41600.8
1851,41600.8
1852,41600.8
1853,41600.8
1854,41600.81
1855,41600.81
1856,41600.81
1857,41600.81
1858,41600.82
1859,41600.82
1860,41600.82
1861,41600.82
1862,41600.82
1863,41600.82
1864,41600.83
1865,41600.83
1866,41600.83
