row_index,WMAN.InitFileVersion
434,sinoma42.2_v20150728
435,sinoma42.2_v20150728
436,sinoma42.2_v20150728
437,sinoma42.2_v20150728
438,sinoma42.2_v20150728
439,sinoma42.2_v20150728
440,sinoma42.2_v20150728
441,sinoma42.2_v20150728
442,sinoma42.2_v20150728
443,sinoma42.2_v20150728
444,sinoma42.2_v20150728
445,sinoma42.2_v20150728
446,sinoma42.2_v20150728
447,sinoma42.2_v20150728
448,sinoma42.2_v20150728
449,sinoma42.2_v20150728
450,sinoma42.2_v20150728
451,sinoma42.2_v20150728
452,sinoma42.2_v20150728
453,sinoma42.2_v20150728
454,sinoma42.2_v20150728
455,sinoma42.2_v20150728
456,sinoma42.2_v20150728
457,sinoma42.2_v20150728
458,sinoma42.2_v20150728
459,sinoma42.2_v20150728
460,sinoma42.2_v20150728
461,sinoma42.2_v20150728
462,sinoma42.2_v20150728
463,sinoma42.2_v20150728
464,sinoma42.2_v20150728
465,sinoma42.2_v20150728
466,sinoma42.2_v20150728
467,sinoma42.2_v20150728
468,sinoma42.2_v20150728
469,sinoma42.2_v20150728
470,sinoma42.2_v20150728
471,sinoma42.2_v20150728
472,sinoma42.2_v20150728
473,sinoma42.2_v20150728
474,sinoma42.2_v20150728
475,sinoma42.2_v20150728
476,sinoma42.2_v20150728
477,sinoma42.2_v20150728
478,sinoma42.2_v20150728
479,sinoma42.2_v20150728
480,sinoma42.2_v20150728
481,sinoma42.2_v20150728
482,sinoma42.2_v20150728
483,sinoma42.2_v20150728
484,sinoma42.2_v20150728
485,sinoma42.2_v20150728
486,sinoma42.2_v20150728
487,sinoma42.2_v20150728
488,sinoma42.2_v20150728
489,sinoma42.2_v20150728
490,sinoma42.2_v20150728
491,sinoma42.2_v20150728
492,sinoma42.2_v20150728
493,sinoma42.2_v20150728
494,sinoma42.2_v20150728
495,sinoma42.2_v20150728
496,sinoma42.2_v20150728
497,sinoma42.2_v20150728
498,sinoma42.2_v20150728
499,sinoma42.2_v20150728
500,sinoma42.2_v20150728
501,sinoma42.2_v20150728
502,sinoma42.2_v20150728
503,sinoma42.2_v20150728
504,sinoma42.2_v20150728
505,sinoma42.2_v20150728
506,sinoma42.2_v20150728
507,sinoma42.2_v20150728
508,sinoma42.2_v20150728
509,sinoma42.2_v20150728
510,sinoma42.2_v20150728
511,sinoma42.2_v20150728
512,sinoma42.2_v20150728
513,sinoma42.2_v20150728
514,sinoma42.2_v20150728
515,sinoma42.2_v20150728
516,sinoma42.2_v20150728
517,sinoma42.2_v20150728
518,sinoma42.2_v20150728
519,sinoma42.2_v20150728
520,sinoma42.2_v20150728
521,sinoma42.2_v20150728
522,sinoma42.2_v20150728
523,sinoma42.2_v20150728
524,sinoma42.2_v20150728
525,sinoma42.2_v20150728
526,sinoma42.2_v20150728
527,sinoma42.2_v20150728
528,sinoma42.2_v20150728
529,sinoma42.2_v20150728
530,sinoma42.2_v20150728
531,sinoma42.2_v20150728
532,sinoma42.2_v20150728
533,sinoma42.2_v20150728
534,sinoma42.2_v20150728
535,sinoma42.2_v20150728
536,sinoma42.2_v20150728
537,sinoma42.2_v20150728
538,sinoma42.2_v20150728
539,sinoma42.2_v20150728
540,sinoma42.2_v20150728
541,sinoma42.2_v20150728
542,sinoma42.2_v20150728
543,sinoma42.2_v20150728
544,sinoma42.2_v20150728
545,sinoma42.2_v20150728
546,sinoma42.2_v20150728
547,sinoma42.2_v20150728
548,sinoma42.2_v20150728
549,sinoma42.2_v20150728
550,sinoma42.2_v20150728
551,sinoma42.2_v20150728
552,sinoma42.2_v20150728
553,sinoma42.2_v20150728
554,sinoma42.2_v20150728
555,sinoma42.2_v20150728
556,sinoma42.2_v20150728
557,sinoma42.2_v20150728
558,sinoma42.2_v20150728
559,sinoma42.2_v20150728
560,sinoma42.2_v20150728
561,sinoma42.2_v20150728
562,sinoma42.2_v20150728
563,sinoma42.2_v20150728
564,sinoma42.2_v20150728
565,sinoma42.2_v20150728
566,sinoma42.2_v20150728
567,sinoma42.2_v20150728
568,sinoma42.2_v20150728
569,sinoma42.2_v20150728
570,sinoma42.2_v20150728
571,sinoma42.2_v20150728
572,sinoma42.2_v20150728
573,sinoma42.2_v20150728
574,sinoma42.2_v20150728
575,sinoma42.2_v20150728
576,sinoma42.2_v20150728
577,sinoma42.2_v20150728
578,sinoma42.2_v20150728
579,sinoma42.2_v20150728
580,sinoma42.2_v20150728
581,sinoma42.2_v20150728
