row_index,WTUR.environment_ok_h
1295,44280.15
1296,44280.15
1297,44280.16
1298,44280.16
1299,44280.16
1300,44280.16
1301,44280.16
1302,44280.16
1303,44280.17
1304,44280.17
1305,44280.17
1306,44280.17
1307,44280.17
1308,44280.17
1309,44280.18
1310,44280.18
1311,44280.18
1312,44280.18
1313,44280.19
1314,44280.19
1315,44280.19
1316,44280.19
1317,44280.19
1318,44280.19
1319,44280.2
1320,44280.2
1321,44280.2
1322,44280.2
1323,44280.21
1324,44280.21
1325,44280.21
1326,44280.21
1327,44280.21
1328,44280.21
1329,44280.22
1330,44280.22
1331,44280.22
1332,44280.22
1333,44280.23
1334,44280.23
1335,44280.23
1336,44280.23
1337,44280.23
1338,44280.24
1339,44280.24
1340,44280.24
1341,44280.24
1342,44280.25
1343,44280.25
1344,44280.25
1345,44280.25
1346,44280.25
1347,44280.25
1348,44280.25
1349,44280.26
1350,44280.26
1351,44280.26
1352,44280.26
1353,44280.26
1354,44280.26
1355,44280.27
1356,44280.27
1357,44280.27
1358,44280.27
1359,44280.28
1360,44280.28
1361,44280.28
1362,44280.28
1363,44280.28
1364,44280.28
1365,44280.29
1366,44280.29
1367,44280.29
1368,44280.3
1369,44280.3
1370,44280.3
1371,44280.3
1372,44280.3
1373,44280.3
1374,44280.31
1375,44280.31
1376,44280.31
1377,44280.31
1378,44280.32
1379,44280.32
1380,44280.32
1381,44280.32
1382,44280.32
1383,44280.32
1384,44280.33
1385,44280.33
1386,44280.33
1387,44280.33
1388,44280.33
1389,44280.33
1390,44280.34
1391,44280.34
1392,44280.34
1393,44280.34
1394,44280.35
1395,44280.35
1396,44280.35
1397,44280.35
1398,44280.35
1399,44280.35
1400,44280.36
1401,44280.36
1402,44280.36
1403,44280.36
1404,44280.37
1405,44280.37
1406,44280.37
1407,44280.37
1408,44280.37
1409,44280.37
1410,44280.38
1411,44280.38
1412,44280.38
1413,44280.39
1414,44280.39
1415,44280.39
1416,44280.39
1417,44280.39
1418,44280.39
1419,44280.4
1420,44280.4
1421,44280.4
1422,44280.4
1423,44280.41
1424,44280.41
1425,44280.41
1426,44280.41
1427,44280.41
1428,44280.41
1429,44280.42
1430,44280.42
1431,44280.42
1432,44280.42
1433,44280.42
1434,44280.42
1435,44280.43
1436,44280.43
1437,44280.43
1438,44280.43
1439,44280.44
1440,44280.44
1441,44280.44
1442,44280.44
1443,44280.44
1444,44280.44
1445,44280.45
1446,44280.45
1447,44280.45
1448,44280.45
1449,44280.46
1450,44280.46
1451,44280.46
1452,44280.46
1453,44280.46
1454,44280.46
1455,44280.47
1456,44280.47
1457,44280.47
1458,44280.47
1459,44280.48
1460,44280.48
1461,44280.48
1462,44280.48
1463,44280.48
1464,44280.49
1465,44280.49
1466,44280.49
1467,44280.49
1468,44280.5
1469,44280.5
1470,44280.5
1471,44280.5
1472,44280.5
1473,44280.5
1474,44280.51
1475,44280.51
1476,44280.51
1477,44280.51
1478,44280.51
1479,44280.51
1480,44280.52
1481,44280.52
1482,44280.52
1483,44280.52
1484,44280.53
1485,44280.53
1486,44280.53
1487,44280.53
1488,44280.53
1489,44280.53
1490,44280.54
1491,44280.54
1492,44280.54
1493,44280.54
1494,44280.55
1495,44280.55
1496,44280.55
1497,44280.55
1498,44280.55
1499,44280.56
1500,44280.56
1501,44280.56
1502,44280.56
1503,44280.57
1504,44280.57
1505,44280.57
1506,44280.57
1507,44280.57
