row_index,WTUR.CTim.Wt.F32.WindValid
900,27799.13
901,27799.14
902,27799.14
903,27799.14
904,27799.14
905,27799.14
906,27799.15
907,27799.15
908,27799.15
909,27799.15
910,27799.15
911,27799.16
912,27799.16
913,27799.16
914,27799.16
915,27799.16
916,27799.17
917,27799.17
918,27799.17
919,27799.17
920,27799.17
921,27799.18
922,27799.18
923,27799.18
924,27799.18
925,27799.18
926,27799.18
927,27799.19
928,27799.19
929,27799.19
930,27799.19
931,27799.19
932,27799.2
933,27799.2
934,27799.2
935,27799.2
936,27799.2
937,27799.21
938,27799.21
939,27799.21
940,27799.21
941,27799.21
942,27799.22
943,27799.22
944,27799.22
945,27799.22
946,27799.22
947,27799.23
948,27799.23
949,27799.23
950,27799.23
951,27799.23
952,27799.24
953,27799.24
954,27799.24
955,27799.24
956,27799.24
957,27799.25
958,27799.25
959,27799.25
960,27799.25
961,27799.25
962,27799.26
963,27799.26
964,27799.26
965,27799.26
966,27799.26
967,27799.27
968,27799.27
969,27799.27
970,27799.27
971,27799.27
972,27799.28
973,27799.28
974,27799.28
975,27799.28
976,27799.28
977,27799.29
978,27799.29
979,27799.29
980,27799.29
981,27799.29
982,27799.3
983,27799.3
984,27799.3
985,27799.3
986,27799.3
987,27799.31
988,27799.31
989,27799.31
990,27799.31
991,27799.32
992,27799.32
993,27799.32
994,27799.32
995,27799.32
996,27799.33
997,27799.33
998,27799.33
999,27799.33
1000,27799.33
1001,27799.34
1002,27799.34
1003,27799.34
1004,27799.34
1005,27799.34
1006,27799.35
1007,27799.35
1008,27799.35
1009,27799.35
1010,27799.35
1011,27799.35
1012,27799.36
1013,27799.36
1014,27799.36
1015,27799.36
1016,27799.36
1017,27799.37
1018,27799.37
1019,27799.37
1020,27799.37
1021,27799.37
1022,27799.38
1023,27799.38
1024,27799.38
1025,27799.38
1026,27799.38
1027,27799.39
1028,27799.39
1029,27799.39
1030,27799.39
1031,27799.39
1032,27799.4
1033,27799.4
1034,27799.4
1035,27799.4
1036,27799.4
1037,27799.41
1038,27799.41
1039,27799.41
1040,27799.41
1041,27799.41
1042,27799.42
1043,27799.42
1044,27799.42
1045,27799.42
1046,27799.42
1047,27799.43
1048,27799.43
1049,27799.43
1050,27799.43
1051,27799.43
1052,27799.44
1053,27799.44
1054,27799.44
1055,27799.44
1056,27799.44
1057,27799.45
1058,27799.45
