row_index,WMAN.Tm
11084,2018-01-04 21:59:15
11085,2018-01-04 21:59:23
11086,2018-01-04 21:59:30
11087,2018-01-04 21:59:37
11088,2018-01-04 21:59:44
11089,2018-01-04 21:59:51
11090,2018-01-04 21:59:59
11091,2018-01-04 22:00:02
11092,2018-01-04 22:00:10
11093,2018-01-04 22:00:17
11094,2018-01-04 22:00:24
11095,2018-01-04 22:00:31
11096,2018-01-04 22:00:39
11097,2018-01-04 22:00:46
11098,2018-01-04 22:00:53
11099,2018-01-04 22:01:00
11100,2018-01-04 22:01:07
11101,2018-01-04 22:01:15
11102,2018-01-04 22:01:22
11103,2018-01-04 22:01:29
11104,2018-01-04 22:01:37
11105,2018-01-04 22:01:44
11106,2018-01-04 22:01:51
11107,2018-01-04 22:01:58
11108,2018-01-04 22:02:05
11109,2018-01-04 22:02:13
11110,2018-01-04 22:02:20
11111,2018-01-04 22:02:27
11112,2018-01-04 22:02:34
11113,2018-01-04 22:02:41
11114,2018-01-04 22:02:49
11115,2018-01-04 22:02:56
11116,2018-01-04 22:03:03
11117,2018-01-04 22:03:10
11118,2018-01-04 22:03:17
11119,2018-01-04 22:03:25
11120,2018-01-04 22:03:32
11121,2018-01-04 22:03:39
11122,2018-01-04 22:03:46
11123,2018-01-04 22:03:53
11124,2018-01-04 22:04:01
11125,2018-01-04 22:04:08
11126,2018-01-04 22:04:15
11127,2018-01-04 22:04:22
11128,2018-01-04 22:04:30
11129,2018-01-04 22:04:37
11130,2018-01-04 22:04:44
11131,2018-01-04 22:04:51
11132,2018-01-04 22:04:59
11133,2018-01-04 22:05:06
11134,2018-01-04 22:05:13
11135,2018-01-04 22:05:20
11136,2018-01-04 22:05:27
11137,2018-01-04 22:05:35
11138,2018-01-04 22:05:42
11139,2018-01-04 22:05:49
11140,2018-01-04 22:05:56
11141,2018-01-04 22:06:03
11142,2018-01-04 22:06:11
11143,2018-01-04 22:06:18
11144,2018-01-04 22:06:25
11145,2018-01-04 22:06:32
11146,2018-01-04 22:06:39
11147,2018-01-04 22:06:47
11148,2018-01-04 22:06:54
11149,2018-01-04 22:07:01
11150,2018-01-04 22:07:08
11151,2018-01-04 22:07:15
11152,2018-01-04 22:07:23
11153,2018-01-04 22:07:30
11154,2018-01-04 22:07:37
11155,2018-01-04 22:07:44
11156,2018-01-04 22:07:52
11157,2018-01-04 22:07:59
11158,2018-01-04 22:08:06
11159,2018-01-04 22:08:13
11160,2018-01-04 22:08:20
11161,2018-01-04 22:08:28
11162,2018-01-04 22:08:35
11163,2018-01-04 22:08:42
11164,2018-01-04 22:08:49
11165,2018-01-04 22:08:56
11166,2018-01-04 22:09:04
11167,2018-01-04 22:09:11
11168,2018-01-04 22:09:18
11169,2018-01-04 22:09:25
11170,2018-01-04 22:09:32
11171,2018-01-04 22:09:40
11172,2018-01-04 22:09:47
11173,2018-01-04 22:09:54
11174,2018-01-04 22:09:58
11175,2018-01-04 22:10:01
11176,2018-01-04 22:10:09
11177,2018-01-04 22:10:16
11178,2018-01-04 22:10:23
11179,2018-01-04 22:10:31
11180,2018-01-04 22:10:38
11181,2018-01-04 22:10:45
11182,2018-01-04 22:10:52
11183,2018-01-04 22:11:00
11184,2018-01-04 22:11:07
11185,2018-01-04 22:11:14
11186,2018-01-04 22:11:21
11187,2018-01-04 22:11:28
11188,2018-01-04 22:11:36
11189,2018-01-04 22:11:43
11190,2018-01-04 22:11:50
11191,2018-01-04 22:11:57
11192,2018-01-04 22:12:05
11193,2018-01-04 22:12:12
11194,2018-01-04 22:12:19
11195,2018-01-04 22:12:26
11196,2018-01-04 22:12:33
11197,2018-01-04 22:12:41
11198,2018-01-04 22:12:48
11199,2018-01-04 22:12:55
11200,2018-01-04 22:13:02
11201,2018-01-04 22:13:09
11202,2018-01-04 22:13:17
11203,2018-01-04 22:13:24
11204,2018-01-04 22:13:31
11205,2018-01-04 22:13:38
11206,2018-01-04 22:13:45
11207,2018-01-04 22:13:53
11208,2018-01-04 22:14:00
11209,2018-01-04 22:14:07
11210,2018-01-04 22:14:14
11211,2018-01-04 22:14:21
11212,2018-01-04 22:14:29
11213,2018-01-04 22:14:36
11214,2018-01-04 22:14:43
11215,2018-01-04 22:14:50
11216,2018-01-04 22:14:57
11217,2018-01-04 22:15:05
11218,2018-01-04 22:15:12
11219,2018-01-04 22:15:19
11220,2018-01-04 22:15:26
11221,2018-01-04 22:15:33
11222,2018-01-04 22:15:41
11223,2018-01-04 22:15:48
11224,2018-01-04 22:15:55
11225,2018-01-04 22:16:02
11226,2018-01-04 22:16:10
11227,2018-01-04 22:16:17
11228,2018-01-04 22:16:24
11229,2018-01-04 22:16:31
11230,2018-01-04 22:16:38
11231,2018-01-04 22:16:46
11232,2018-01-04 22:16:53
11233,2018-01-04 22:17:00
11234,2018-01-04 22:17:07
11235,2018-01-04 22:17:14
11236,2018-01-04 22:17:22
11237,2018-01-04 22:17:29
11238,2018-01-04 22:17:36
11239,2018-01-04 22:17:43
11240,2018-01-04 22:17:50
11241,2018-01-04 22:17:58
11242,2018-01-04 22:18:05
11243,2018-01-04 22:18:12
11244,2018-01-04 22:18:19
11245,2018-01-04 22:18:26
11246,2018-01-04 22:18:34
11247,2018-01-04 22:18:41
11248,2018-01-04 22:18:48
11249,2018-01-04 22:18:55
11250,2018-01-04 22:19:03
11251,2018-01-04 22:19:10
11252,2018-01-04 22:19:17
11253,2018-01-04 22:19:24
11254,2018-01-04 22:19:31
11255,2018-01-04 22:19:39
11256,2018-01-04 22:19:46
11257,2018-01-04 22:19:53
11258,2018-01-04 22:19:57
11259,2018-01-04 22:20:00
11260,2018-01-04 22:20:08
11261,2018-01-04 22:20:15
11262,2018-01-04 22:20:22
11263,2018-01-04 22:20:30
11264,2018-01-04 22:20:37
11265,2018-01-04 22:20:44
11266,2018-01-04 22:20:51
11267,2018-01-04 22:20:58
11268,2018-01-04 22:21:06
11269,2018-01-04 22:21:13
11270,2018-01-04 22:21:20
11271,2018-01-04 22:21:27
11272,2018-01-04 22:21:35
11273,2018-01-04 22:21:42
11274,2018-01-04 22:21:49
11275,2018-01-04 22:21:56
11276,2018-01-04 22:22:03
11277,2018-01-04 22:22:11
11278,2018-01-04 22:22:18
11279,2018-01-04 22:22:25
11280,2018-01-04 22:22:32
11281,2018-01-04 22:22:40
11282,2018-01-04 22:22:47
11283,2018-01-04 22:22:54
11284,2018-01-04 22:23:01
11285,2018-01-04 22:23:08
11286,2018-01-04 22:23:16
11287,2018-01-04 22:23:23
11288,2018-01-04 22:23:30
11289,2018-01-04 22:23:37
11290,2018-01-04 22:23:44
11291,2018-01-04 22:23:52
11292,2018-01-04 22:23:59
11293,2018-01-04 22:24:06
11294,2018-01-04 22:24:13
11295,2018-01-04 22:24:20
11296,2018-01-04 22:24:28
11297,2018-01-04 22:24:35
11298,2018-01-04 22:24:42
11299,2018-01-04 22:24:49
11300,2018-01-04 22:24:56
11301,2018-01-04 22:25:04
11302,2018-01-04 22:25:11
11303,2018-01-04 22:25:18
11304,2018-01-04 22:25:25
11305,2018-01-04 22:25:32
11306,2018-01-04 22:25:40
11307,2018-01-04 22:25:47
11308,2018-01-04 22:25:54
11309,2018-01-04 22:26:01
11310,2018-01-04 22:26:08
11311,2018-01-04 22:26:16
11312,2018-01-04 22:26:23
11313,2018-01-04 22:26:30
11314,2018-01-04 22:26:37
11315,2018-01-04 22:26:45
11316,2018-01-04 22:26:52
11317,2018-01-04 22:26:59
11318,2018-01-04 22:27:06
11319,2018-01-04 22:27:13
11320,2018-01-04 22:27:21
11321,2018-01-04 22:27:28
11322,2018-01-04 22:27:35
11323,2018-01-04 22:27:42
11324,2018-01-04 22:27:49
11325,2018-01-04 22:27:57
11326,2018-01-04 22:28:04
11327,2018-01-04 22:28:11
11328,2018-01-04 22:28:18
11329,2018-01-04 22:28:25
11330,2018-01-04 22:28:33
11331,2018-01-04 22:28:40
11332,2018-01-04 22:28:47
11333,2018-01-04 22:28:54
11334,2018-01-04 22:29:01
11335,2018-01-04 22:29:09
11336,2018-01-04 22:29:16
11337,2018-01-04 22:29:23
11338,2018-01-04 22:29:30
11339,2018-01-04 22:29:37
11340,2018-01-04 22:29:45
11341,2018-01-04 22:29:52
11342,2018-01-04 22:29:59
11343,2018-01-04 22:30:03
11344,2018-01-04 22:30:10
11345,2018-01-04 22:30:18
11346,2018-01-04 22:30:25
11347,2018-01-04 22:30:32
11348,2018-01-04 22:30:39
11349,2018-01-04 22:30:46
11350,2018-01-04 22:30:54
11351,2018-01-04 22:31:01
11352,2018-01-04 22:31:08
11353,2018-01-04 22:31:15
11354,2018-01-04 22:31:22
11355,2018-01-04 22:31:30
11356,2018-01-04 22:31:37
11357,2018-01-04 22:31:44
11358,2018-01-04 22:31:51
11359,2018-01-04 22:31:59
11360,2018-01-04 22:32:06
11361,2018-01-04 22:32:13
11362,2018-01-04 22:32:20
11363,2018-01-04 22:32:27
11364,2018-01-04 22:32:35
11365,2018-01-04 22:32:42
11366,2018-01-04 22:32:49
11367,2018-01-04 22:32:56
11368,2018-01-04 22:33:03
11369,2018-01-04 22:33:11
11370,2018-01-04 22:33:18
11371,2018-01-04 22:33:25
11372,2018-01-04 22:33:32
11373,2018-01-04 22:33:39
11374,2018-01-04 22:33:47
11375,2018-01-04 22:33:54
11376,2018-01-04 22:34:01
11377,2018-01-04 22:34:08
11378,2018-01-04 22:34:15
11379,2018-01-04 22:34:23
11380,2018-01-04 22:34:30
11381,2018-01-04 22:34:37
11382,2018-01-04 22:34:44
11383,2018-01-04 22:34:51
11384,2018-01-04 22:34:59
11385,2018-01-04 22:35:06
11386,2018-01-04 22:35:13
11387,2018-01-04 22:35:20
11388,2018-01-04 22:35:28
11389,2018-01-04 22:35:35
11390,2018-01-04 22:35:42
11391,2018-01-04 22:35:49
11392,2018-01-04 22:35:56
11393,2018-01-04 22:36:04
11394,2018-01-04 22:36:11
11395,2018-01-04 22:36:18
11396,2018-01-04 22:36:25
11397,2018-01-04 22:36:32
11398,2018-01-04 22:36:40
11399,2018-01-04 22:36:47
11400,2018-01-04 22:36:54
11401,2018-01-04 22:37:01
11402,2018-01-04 22:37:08
11403,2018-01-04 22:37:16
11404,2018-01-04 22:37:23
11405,2018-01-04 22:37:30
11406,2018-01-04 22:37:37
11407,2018-01-04 22:37:44
11408,2018-01-04 22:37:52
11409,2018-01-04 22:37:59
11410,2018-01-04 22:38:06
11411,2018-01-04 22:38:13
11412,2018-01-04 22:38:20
11413,2018-01-04 22:38:28
11414,2018-01-04 22:38:35
11415,2018-01-04 22:38:42
11416,2018-01-04 22:38:49
11417,2018-01-04 22:38:56
11418,2018-01-04 22:39:04
11419,2018-01-04 22:39:11
11420,2018-01-04 22:39:18
11421,2018-01-04 22:39:25
11422,2018-01-04 22:39:33
11423,2018-01-04 22:39:40
11424,2018-01-04 22:39:47
11425,2018-01-04 22:39:54
11426,2018-01-04 22:39:58
11427,2018-01-04 22:40:01
11428,2018-01-04 22:40:09
11429,2018-01-04 22:40:16
11430,2018-01-04 22:40:24
11431,2018-01-04 22:40:31
11432,2018-01-04 22:40:38
11433,2018-01-04 22:40:45
11434,2018-01-04 22:40:52
11435,2018-01-04 22:41:00
11436,2018-01-04 22:41:07
11437,2018-01-04 22:41:14
11438,2018-01-04 22:41:21
11439,2018-01-04 22:41:28
11440,2018-01-04 22:41:36
11441,2018-01-04 22:41:43
11442,2018-01-04 22:41:50
11443,2018-01-04 22:41:57
11444,2018-01-04 22:42:04
11445,2018-01-04 22:42:12
11446,2018-01-04 22:42:19
11447,2018-01-04 22:42:26
11448,2018-01-04 22:42:34
11449,2018-01-04 22:42:41
11450,2018-01-04 22:42:48
11451,2018-01-04 22:42:55
11452,2018-01-04 22:43:02
11453,2018-01-04 22:43:10
11454,2018-01-04 22:43:17
11455,2018-01-04 22:43:24
11456,2018-01-04 22:43:31
11457,2018-01-04 22:43:38
11458,2018-01-04 22:43:46
11459,2018-01-04 22:43:53
11460,2018-01-04 22:44:00
11461,2018-01-04 22:44:07
11462,2018-01-04 22:44:14
11463,2018-01-04 22:44:22
11464,2018-01-04 22:44:29
11465,2018-01-04 22:44:36
11466,2018-01-04 22:44:43
11467,2018-01-04 22:44:50
11468,2018-01-04 22:44:58
11469,2018-01-04 22:45:05
11470,2018-01-04 22:45:12
11471,2018-01-04 22:45:19
11472,2018-01-04 22:45:26
11473,2018-01-04 22:45:34
11474,2018-01-04 22:45:41
11475,2018-01-04 22:45:48
11476,2018-01-04 22:45:55
11477,2018-01-04 22:46:03
11478,2018-01-04 22:46:10
11479,2018-01-04 22:46:17
11480,2018-01-04 22:46:24
11481,2018-01-04 22:46:31
11482,2018-01-04 22:46:39
11483,2018-01-04 22:46:46
11484,2018-01-04 22:46:53
11485,2018-01-04 22:47:00
11486,2018-01-04 22:47:07
11487,2018-01-04 22:47:15
11488,2018-01-04 22:47:22
11489,2018-01-04 22:47:29
11490,2018-01-04 22:47:36
11491,2018-01-04 22:47:43
11492,2018-01-04 22:47:51
11493,2018-01-04 22:47:58
11494,2018-01-04 22:48:05
11495,2018-01-04 22:48:12
11496,2018-01-04 22:48:19
11497,2018-01-04 22:48:27
11498,2018-01-04 22:48:34
11499,2018-01-04 22:48:41
11500,2018-01-04 22:48:48
11501,2018-01-04 22:48:56
11502,2018-01-04 22:49:03
11503,2018-01-04 22:49:10
11504,2018-01-04 22:49:17
11505,2018-01-04 22:49:24
11506,2018-01-04 22:49:32
11507,2018-01-04 22:49:39
11508,2018-01-04 22:49:46
11509,2018-01-04 22:49:53
11510,2018-01-04 22:49:57
11511,2018-01-04 22:50:00
11512,2018-01-04 22:50:08
11513,2018-01-04 22:50:15
11514,2018-01-04 22:50:23
11515,2018-01-04 22:50:30
11516,2018-01-04 22:50:37
11517,2018-01-04 22:50:44
11518,2018-01-04 22:50:51
11519,2018-01-04 22:50:59
11520,2018-01-04 22:51:06
11521,2018-01-04 22:51:13
11522,2018-01-04 22:51:20
11523,2018-01-04 22:51:27
11524,2018-01-04 22:51:35
11525,2018-01-04 22:51:42
11526,2018-01-04 22:51:49
11527,2018-01-04 22:51:56
11528,2018-01-04 22:52:03
