row_index,WTUR.TmOK.actTmVal
528,48902.66
529,48902.66
530,48902.66
531,48902.67
532,48902.67
533,48902.67
534,48902.67
535,48902.67
536,48902.68
537,48902.68
538,48902.68
539,48902.68
540,48902.68
541,48902.69
542,48902.69
543,48902.69
544,48902.69
545,48902.69
546,48902.7
547,48902.7
548,48902.7
549,48902.7
550,48902.7
551,48902.71
552,48902.71
553,48902.71
554,48902.71
555,48902.71
556,48902.72
557,48902.72
558,48902.72
559,48902.72
560,48902.72
561,48902.73
562,48902.73
563,48902.73
564,48902.73
565,48902.73
566,48902.74
567,48902.74
568,48902.74
569,48902.74
570,48902.74
571,48902.75
572,48902.75
573,48902.75
574,48902.75
575,48902.75
576,48902.76
577,48902.76
578,48902.76
579,48902.76
580,48902.76
581,48902.77
582,48902.77
583,48902.77
584,48902.77
585,48902.77
586,48902.78
587,48902.78
588,48902.78
589,48902.78
590,48902.78
591,48902.78
592,48902.79
593,48902.79
594,48902.79
595,48902.79
596,48902.79
597,48902.8
598,48902.8
599,48902.8
600,48902.8
601,48902.8
602,48902.81
603,48902.81
604,48902.81
605,48902.81
606,48902.81
607,48902.82
608,48902.82
609,48902.82
610,48902.82
611,48902.82
612,48902.83
613,48902.83
614,48902.83
615,48902.83
616,48902.83
617,48902.84
618,48902.84
619,48902.84
620,48902.84
621,48902.84
622,48902.85
623,48902.85
624,48902.85
625,48902.85
626,48902.85
627,48902.86
628,48902.86
629,48902.86
630,48902.86
631,48902.86
632,48902.87
633,48902.87
634,48902.87
635,48902.87
636,48902.87
637,48902.88
638,48902.88
639,48902.88
640,48902.88
641,48902.88
642,48902.89
643,48902.89
644,48902.89
645,48902.89
646,48902.89
647,48902.9
648,48902.9
649,48902.9
650,48902.9
651,48902.9
652,48902.91
653,48902.91
654,48902.91
655,48902.91
656,48902.91
657,48902.92
658,48902.92
659,48902.92
660,48902.92
661,48902.92
662,48902.93
663,48902.93
664,48902.93
665,48902.93
666,48902.93
667,48902.94
668,48902.94
669,48902.94
670,48902.94
671,48902.94
672,48902.95
673,48902.95
674,48902.95
675,48902.95
676,48902.95
677,48902.96
678,48902.96
679,48902.96
680,48902.96
681,48902.96
682,48902.97
683,48902.97
684,48902.97
685,48902.97
686,48902.97
687,48902.98
688,48902.98
689,48902.98
690,48902.98
691,48902.98
692,48902.99
693,48902.99
694,48902.99
695,48902.99
696,48902.99
697,48903.0
698,48903.0
699,48903.0
700,48903.0
701,48903.0
702,48903.01
703,48903.01
704,48903.01
705,48903.01
706,48903.01
707,48903.02
708,48903.02
709,48903.02
710,48903.02
711,48903.02
712,48903.03
713,48903.03
714,48903.03
715,48903.03
716,48903.03
717,48903.04
718,48903.04
719,48903.04
720,48903.04
721,48903.04
722,48903.05
723,48903.05
724,48903.05
725,48903.05
726,48903.05
727,48903.06
728,48903.06
729,48903.06
730,48903.06
731,48903.06
732,48903.07
733,48903.07
734,48903.07
735,48903.07
736,48903.07
737,48903.08
738,48903.08
739,48903.08
740,48903.08
741,48903.08
742,48903.09
743,48903.09
744,48903.09
745,48903.09
746,48903.09
747,48903.1
748,48903.1
749,48903.1
750,48903.1
751,48903.1
752,48903.11
753,48903.11
754,48903.11
755,48903.11
756,48903.11
757,48903.11
758,48903.12
759,48903.12
760,48903.12
761,48903.12
762,48903.12
763,48903.13
764,48903.13
765,48903.13
766,48903.13
767,48903.13
768,48903.14
769,48903.14
770,48903.14
771,48903.14
772,48903.14
773,48903.15
774,48903.15
775,48903.15
776,48903.15
777,48903.15
778,48903.16
779,48903.16
780,48903.16
781,48903.16
782,48903.16
783,48903.17
784,48903.17
785,48903.17
786,48903.17
787,48903.17
788,48903.18
789,48903.18
790,48903.18
791,48903.18
792,48903.18
793,48903.19
794,48903.19
795,48903.19
796,48903.19
797,48903.19
798,48903.2
799,48903.2
800,48903.2
801,48903.2
802,48903.2
803,48903.21
804,48903.21
805,48903.21
806,48903.21
807,48903.21
808,48903.22
809,48903.22
810,48903.22
811,48903.22
812,48903.22
813,48903.23
814,48903.23
815,48903.23
816,48903.23
817,48903.23
818,48903.24
819,48903.24
820,48903.24
821,48903.24
822,48903.24
823,48903.25
824,48903.25
825,48903.25
826,48903.25
827,48903.25
828,48903.26
829,48903.26
830,48903.26
831,48903.26
832,48903.26
833,48903.27
834,48903.27
835,48903.27
836,48903.27
837,48903.27
838,48903.28
839,48903.28
840,48903.28
841,48903.28
842,48903.28
843,48903.28
844,48903.29
845,48903.29
846,48903.29
847,48903.29
848,48903.29
849,48903.3
850,48903.3
851,48903.3
852,48903.3
853,48903.3
854,48903.31
855,48903.31
856,48903.31
857,48903.31
858,48903.31
859,48903.32
860,48903.32
861,48903.32
862,48903.32
863,48903.32
864,48903.33
865,48903.33
866,48903.33
867,48903.33
868,48903.34
